id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
8514,0,-,石崎 巧,PG/SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
8737,1,〇,船生 誠也,SF,17:10,12,4,5,80.0%,4,4,100.0%,0,0,-,1,1,2,2,2,0,1,0,4,0,10
9489,3,〇,並里 成,PG,29:03,16,7,13,53.8%,0,2,0.0%,2,5,40.0%,0,1,1,4,5,1,0,1,1,7,13
33097,13,〇,ドウェイン・エバンス,SF/PF,38:43,23,8,13,61.5%,1,3,33.3%,6,7,85.7%,0,7,7,3,2,2,0,0,5,6,28
8655,14,-,岸本 隆一,PG/SG,20:51,3,1,4,25.0%,1,4,25.0%,0,0,-,1,0,1,3,0,1,0,0,4,1,2
8656,24,〇,田代 直希,SF,27:42,10,4,6,66.7%,1,3,33.3%,1,3,33.3%,1,4,5,1,1,0,0,0,3,3,11
14302,30,-,今村 佳太,SG/SF,26:22,10,3,11,27.3%,1,5,20.0%,3,3,100.0%,0,2,2,1,2,0,0,1,2,3,3
8662,32,-,満原 優樹,C/PF,18:45,0,0,2,0.0%,0,2,0.0%,0,0,-,1,1,2,2,0,0,0,0,3,0,-1
8756,34,-,小野寺 祥太,PG/SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
33096,41,〇,キム・ティリ,C/PF,32:32,10,4,10,40.0%,2,7,28.6%,0,0,-,1,10,11,2,0,1,0,0,3,0,15
30398,88,-,牧 隼利,SG,13:52,5,2,3,66.7%,1,1,100.0%,0,0,-,0,1,1,0,1,0,1,0,3,0,2
