id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
8641,1,-,山口 祐希,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
30404,2,-,飴谷 由毅,SG/SF,00:28,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
8578,7,-,阿部 友和,PG,14:44,0,0,3,0.0%,0,1,0.0%,0,0,-,0,2,2,4,1,2,0,1,3,0,0
8501,9,-,水戸 健史,SG,24:12,16,7,7,100.0%,1,1,100.0%,1,2,50.0%,1,1,2,2,0,1,0,0,2,1,19
8503,11,〇,宇都 直輝,PG,17:09,4,2,3,66.7%,0,0,-,0,0,-,0,3,3,5,2,0,0,0,1,2,10
20024,13,〇,前田 悟,SF,16:12,11,4,7,57.1%,3,4,75.0%,0,0,-,0,1,1,0,0,1,1,0,1,0,10
30434,14,-,松脇 圭志,SG,28:16,6,2,5,40.0%,2,5,40.0%,0,0,-,0,4,4,2,3,1,0,0,2,1,6
8496,21,-,橋本 晃佑,PF,09:45,3,1,4,25.0%,1,1,100.0%,0,0,-,1,1,2,1,1,0,0,1,0,0,1
8731,31,-,城宝 匡史,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
8709,32,〇,ジュリアン・マブンガ,PF,39:01,24,9,16,56.3%,1,3,33.3%,5,9,55.6%,1,7,8,10,3,1,1,1,3,7,33
12633,34,〇,ジョシュア・スミス,C,35:30,16,4,8,50.0%,0,0,-,8,10,80.0%,3,11,14,3,3,1,1,0,2,7,31
18475,77,〇,岡田 侑大,PG/SG,14:43,11,5,7,71.4%,1,1,100.0%,0,0,-,0,0,0,0,1,1,0,0,4,1,6
