id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
33035,1,-,パトリック・アウダ,PF,20:31,11,4,7,57.1%,0,1,0.0%,3,6,50.0%,4,9,13,0,1,1,0,0,0,6,24
33083,2,-,ケドリック・ストックマン・ジュニア,PG,08:58,3,1,5,20.0%,1,3,33.3%,0,0,-,1,0,1,0,2,0,0,0,1,2,-1
26825,4,〇,ロバート・カーター,PF,35:25,37,15,25,60.0%,3,6,50.0%,4,6,66.7%,4,7,11,2,5,0,2,0,2,4,37
26915,7,〇,レジナルド・ベクトン,PF,32:09,23,10,10,100.0%,0,0,-,3,5,60.0%,3,7,10,0,3,0,2,0,4,8,34
9405,9,-,森川 正明,SF,29:46,9,3,8,37.5%,1,6,16.7%,2,4,50.0%,1,0,1,4,0,0,0,0,2,2,7
8448,10,〇,アキ・チェンバース,SF,35:28,8,3,14,21.4%,2,8,25.0%,0,0,-,2,0,2,2,1,3,0,1,2,0,0
10851,18,〇,森井 健太,PG,34:50,0,0,3,0.0%,0,3,0.0%,0,0,-,3,2,5,8,1,1,0,0,5,1,6
22402,22,〇,秋山 皓太,SG/SF,06:12,0,0,1,0.0%,0,1,0.0%,0,0,-,0,0,0,0,1,0,0,0,1,0,-3
8720,25,-,竹田 謙,SG,16:20,3,1,3,33.3%,1,2,50.0%,0,0,-,0,1,1,2,0,1,0,0,0,0,5
32956,30,-,須藤 昂矢,SG,03:26,0,0,1,0.0%,0,1,0.0%,0,0,-,0,0,0,0,0,0,1,0,0,1,1
9259,32,-,エドワード・モリス,PF,01:55,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
10873,81,-,小原 翼,PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
