id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
30397,2,-,栗原 翼,PG/SG,07:50,2,1,2,50.0%,0,0,-,0,2,0.0%,0,0,0,0,0,0,0,1,1,1,-2
33040,4,-,ケイン・ロバーツ,PG/SG,02:07,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
18171,8,-,紺野 ニズベット 翔,SG/SF,27:19,7,3,6,50.0%,1,1,100.0%,0,1,0.0%,3,1,4,3,2,4,0,0,1,3,14
8729,10,〇,岡田 優介,SG,26:08,16,5,13,38.5%,4,11,36.4%,2,2,100.0%,1,0,1,2,3,1,0,1,2,2,8
8537,13,-,坂井 レオ,C/PF,02:07,0,0,1,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,-1
18478,14,〇,久岡 幸太郎,PG,15:59,0,0,2,0.0%,0,1,0.0%,0,0,-,0,0,0,3,0,1,0,0,2,1,1
8681,17,〇,綿貫 瞬,PG,26:18,6,3,9,33.3%,0,2,0.0%,0,0,-,3,3,6,3,3,0,0,1,1,0,4
25149,20,〇,イシュマエル・レーン,25:55,16,7,14,50.0%,1,2,50.0%,1,2,50.0%,2,9,11,5,2,1,1,1,3,3,23,
30441,24,-,髙木 慎哉,SG,14:19,5,2,3,66.7%,1,2,50.0%,0,0,-,0,1,1,3,0,0,1,0,3,0,6
26878,32,〇,ナンナ・エグー,C,35:46,15,6,12,50.0%,1,6,16.7%,2,2,100.0%,3,5,8,5,0,1,1,0,2,1,23
10256,40,-,ドゥレイロン・バーンズ,16:12,6,2,11,18.2%,1,7,14.3%,1,2,50.0%,1,4,5,3,1,2,0,0,3,3,5,
8679,41,-,輪島 射矢,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,2,3,0,1,0,0,0,0,0,0
,,,合計,,200:00,73,29,73,39.7%,9,32,28.1%,6,11,54.5%,14,25,39,27,12,10,3,4,18,14,83
