id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
26885,0,-,山本 郁也,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
9347,1,〇,中西 良太,PF,28:24,19,5,12,41.7%,0,1,0.0%,9,11,81.8%,3,2,5,1,1,0,1,0,3,8,21
33100,2,〇,レイナルド・ガルシア・サモラ,PG,27:48,28,12,17,70.6%,1,3,33.3%,3,3,100.0%,1,5,6,4,3,2,0,0,3,5,34
10832,3,-,澁田 怜音,PG,20:31,2,1,8,12.5%,0,4,0.0%,0,0,-,0,0,0,4,1,1,0,0,4,1,-4
33101,6,〇,マルコス・マタ,SF,20:13,4,2,7,28.6%,0,4,0.0%,0,0,-,2,2,4,6,1,1,0,0,3,0,6
9321,8,〇,西 裕太郎,PG,19:32,3,1,5,20.0%,1,4,25.0%,0,0,-,0,2,2,2,1,1,0,0,2,1,2
8666,11,〇,德川 慎之介,SG,05:13,3,1,2,50.0%,1,1,100.0%,0,0,-,0,2,2,1,0,0,0,0,2,0,3
8562,13,-,小松 秀平,SG,09:08,3,1,2,50.0%,1,2,50.0%,0,0,-,0,0,0,0,0,0,0,0,0,0,2
8683,18,-,相馬 卓弥,SG,20:08,5,1,5,20.0%,0,2,0.0%,3,4,75.0%,1,4,5,5,0,0,0,0,2,3,11
32988,25,-,ケニー・ローソン,C,21:19,17,6,9,66.7%,2,3,66.7%,3,4,75.0%,3,4,7,0,1,0,1,0,3,3,20
26888,34,-,井上 諒汰,SF,21:12,12,4,7,57.1%,2,3,66.7%,2,4,50.0%,0,2,2,1,0,0,0,0,2,3,11
26889,66,-,中西 佑介,PF,06:32,0,0,1,0.0%,0,1,0.0%,0,0,-,0,0,0,0,0,1,1,0,1,0,0
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,1,2,0,0,0,0,0,0,0,0
,,,合計,,200:00,96,34,75,45.3%,8,28,28.6%,20,26,76.9%,11,24,35,24,8,6,3,0,25,24,108
