id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
8642,0,-,遥 天翼,SF,15:25,8,3,4,75.0%,2,3,66.7%,0,0,-,0,0,0,1,0,1,0,0,0,2,11
9044,2,-,福澤 晃平,PG/SG,15:35,18,6,13,46.2%,3,7,42.9%,3,3,100.0%,1,2,3,0,1,1,0,0,0,2,16
9311,6,〇,小林 大祐,SG,09:57,0,0,2,0.0%,0,1,0.0%,0,0,-,0,3,3,1,1,1,0,0,1,0,1
9340,11,〇,チェハーレス・タプスコット,PF,26:26,9,4,9,44.4%,1,3,33.3%,0,0,-,2,8,10,7,1,1,0,2,1,1,19
18845,13,-,中村 功平,PG,16:26,6,2,3,66.7%,2,3,66.7%,0,0,-,0,0,0,0,2,0,0,0,1,0,2
8621,14,-,髙橋 祐二,PG,17:32,0,0,1,0.0%,0,1,0.0%,0,0,-,0,1,1,4,1,1,0,0,1,2,5
12595,15,〇,マーク・トラソリーニ,C/PF,24:00,16,6,9,66.7%,3,5,60.0%,1,2,50.0%,0,4,4,2,6,2,1,0,2,1,14
22486,21,-,鎌田 真,SG,03:54,0,0,1,0.0%,0,1,0.0%,0,0,-,0,1,1,0,0,0,0,0,2,0,-2
8561,25,〇,平尾 充庸,PG,18:48,10,3,8,37.5%,1,2,50.0%,3,3,100.0%,1,0,1,5,0,2,0,1,1,4,15
8604,27,〇,眞庭 城聖,SF,15:56,8,3,6,50.0%,2,4,50.0%,0,0,-,0,2,2,2,0,0,0,1,3,3,8
22405,29,-,鶴巻 啓太,SG/SF,16:05,0,0,0,-,0,0,-,0,0,-,2,0,2,2,0,1,0,0,1,0,4
9411,31,-,アブドゥーラ・クウソー,C/PF,19:57,10,4,7,57.1%,0,0,-,2,2,100.0%,2,3,5,0,1,1,0,0,2,1,11
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,4,5,0,1,0,0,0,0,0,0
,,,合計,,200:00,85,31,63,49.2%,14,30,46.7%,9,10,90.0%,9,28,37,24,14,11,1,4,15,16,108
