id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
10874,2,-,佐野 太一,PG/SG,06:47,0,0,1,0.0%,0,1,0.0%,0,0,-,0,1,1,1,0,0,0,0,1,1,1
20000,3,〇,綱井 勇介,PG/SG,19:59,2,1,4,25.0%,0,1,0.0%,0,0,-,0,2,2,2,2,1,0,0,1,0,1
8542,8,〇,下山 大地,SG,22:03,2,1,5,20.0%,0,4,0.0%,0,0,-,0,0,0,0,1,1,0,0,1,1,-2
10299,9,-,野里 惇貴,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
19999,10,-,ビリシベ 実会,SF,19:24,3,1,3,33.3%,0,0,-,1,2,50.0%,1,4,5,1,0,1,0,0,3,1,5
5100000032,11,-,駒沢 颯,PG,01:26,0,0,2,0.0%,0,0,-,0,0,-,0,0,0,0,0,1,0,0,0,0,-1
5100000006,12,-,池田 祐一,PG,19:26,7,2,6,33.3%,1,2,50.0%,2,2,100.0%,0,1,1,3,2,0,0,0,2,1,4
26907,15,〇,オーランド・サンチェス,SF,26:21,17,7,12,58.3%,2,4,50.0%,1,2,50.0%,6,5,11,3,6,1,0,0,4,2,18
10877,22,〇,門馬 圭二郎,SG/SF,18:30,3,1,4,25.0%,1,2,50.0%,0,0,-,0,0,0,1,1,2,0,1,1,2,2
30522,24,-,鈴木 悠介,PF,17:22,2,0,5,0.0%,0,1,0.0%,2,2,100.0%,2,3,5,2,2,0,0,1,5,1,-3
26903,41,〇,スティーブン・ハート,C/PF,33:53,22,7,12,58.3%,2,3,66.7%,6,6,100.0%,2,7,9,1,4,0,1,0,1,5,28
32985,91,-,寺嶋 恭之介,PG/SG,14:49,11,4,8,50.0%,3,5,60.0%,0,0,-,2,0,2,1,0,2,0,0,1,1,12
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,0,1,0,2,0,0,0,0,0,0
,,,合計,,200:00,69,24,62,38.7%,9,23,39.1%,12,14,85.7%,14,23,37,15,20,9,1,2,20,15,64
