id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
27051,4,〇,ユージーン・フェルプス,PF,29:47,21,8,11,72.7%,0,0,-,5,12,41.7%,2,12,14,1,0,0,0,1,2,11,34
8531,7,-,坂田 央,SF,09:52,1,0,1,0.0%,0,1,0.0%,1,2,50.0%,0,1,1,0,0,0,0,0,1,1,0
32987,8,-,山田 友哉,PG/SG,15:44,0,0,4,0.0%,0,2,0.0%,0,0,-,0,1,1,2,2,0,0,0,2,0,-5
10871,9,〇,小澤 智将,SG,22:01,5,2,7,28.6%,1,5,20.0%,0,0,-,0,0,0,2,2,0,0,0,4,1,-3
8599,13,〇,俊野 佳彦,SG,30:08,12,4,7,57.1%,1,2,50.0%,3,4,75.0%,0,5,5,3,1,1,1,0,2,3,18
30516,22,-,大﨑 翔太,SG/SF,02:15,0,0,1,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0,0,2,0,-3
9420,23,-,ライアン・ステファン,C,23:56,14,5,10,50.0%,3,5,60.0%,1,2,50.0%,1,5,6,1,0,1,0,0,2,1,15
18174,24,-,伊集 貴也,PG,10:17,3,1,2,50.0%,1,2,50.0%,0,2,0.0%,0,0,0,0,1,0,0,0,0,1,0
8842,31,-,髙畠 佳介,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
8598,33,〇,俊野 達彦,PG/SG,24:12,0,0,3,0.0%,0,0,-,0,0,-,0,4,4,6,1,0,0,0,2,0,4
22522,34,〇,ペリー・エリス,SF/PF,26:17,23,8,15,53.3%,1,2,50.0%,6,6,100.0%,1,4,5,1,0,0,0,1,1,3,23
9339,89,-,坂井 耀平,PG,05:31,0,0,0,-,0,0,-,0,0,-,0,0,0,1,0,1,0,0,1,0,1
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,2,3,0,0,0,0,0,0,0,0
,,,合計,,200:00,79,28,61,45.9%,7,19,36.8%,16,28,57.1%,5,34,39,17,7,3,1,2,19,21,87
