id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
8607,0,-,小淵 雅,PG/SG,13:38,0,0,2,0.0%,0,1,0.0%,0,0,-,0,0,0,1,0,0,0,0,1,0,-2
8579,3,〇,マイケル・パーカー,PF,36:20,9,4,8,50.0%,0,0,-,1,1,100.0%,3,9,12,3,2,2,0,0,2,1,19
18441,4,〇,トレイ・ジョーンズ,SF,36:08,30,9,21,42.9%,5,8,62.5%,7,7,100.0%,2,3,5,2,2,1,1,2,1,12,34
12500,7,〇,古牧 昌也,SG,09:11,3,1,2,50.0%,1,1,100.0%,0,0,-,0,0,0,0,0,0,0,0,1,0,1
30512,10,-,杉本 天昇,SG,06:44,6,2,4,50.0%,2,3,66.7%,0,0,-,0,1,1,0,0,0,0,1,0,0,4
15853,12,-,野﨑 零也,SG,10:20,7,3,7,42.9%,0,2,0.0%,1,2,50.0%,0,3,3,2,0,0,0,0,1,1,7
18167,13,〇,笠井 康平,PG,26:15,4,1,3,33.3%,0,1,0.0%,2,2,100.0%,2,1,3,6,2,2,0,0,2,2,11
8480,14,-,佐藤 文哉,PG/SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
8581,22,-,上江田 勇樹,SG/SF,01:54,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
8504,30,-,山崎 稜,SG,15:38,0,0,6,0.0%,0,6,0.0%,0,0,-,1,1,2,2,0,0,0,0,0,0,-2
18172,40,-,ジャスティン・キーナン,C/PF,29:19,22,5,7,71.4%,2,4,50.0%,10,12,83.3%,2,4,6,5,2,1,0,0,4,10,34
26826,41,〇,ブライアン・クウェリ,C,14:33,6,3,6,50.0%,0,0,-,0,0,-,0,5,5,0,1,0,0,0,4,0,3
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,2,0,2,0,0,0,0,0,0,0,0
,,,合計,,200:00,87,28,66,42.4%,10,26,38.5%,21,24,87.5%,12,27,39,21,9,6,1,3,16,26,111
