id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
27051,4,〇,ユージーン・フェルプス,PF,37:24,21,9,21,42.9%,0,2,0.0%,3,11,27.3%,8,11,19,3,2,0,1,1,5,11,27
22401,6,-,岡田 泰希,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,
8531,7,-,坂田 央,SF,07:58,0,0,2,0.0%,0,1,0.0%,0,0,-,0,0,0,0,0,1,0,1,3,0,-5
32987,8,-,山田 友哉,PG/SG,14:46,7,1,5,20.0%,0,2,0.0%,5,6,83.3%,0,1,1,2,1,0,0,0,3,5,6
10871,9,〇,小澤 智将,SG,24:52,9,3,10,30.0%,1,4,25.0%,2,2,100.0%,2,1,3,2,1,2,0,0,5,1,4
8599,13,〇,俊野 佳彦,SG,30:07,16,7,10,70.0%,2,4,50.0%,0,0,-,0,1,1,0,2,0,0,0,4,1,9
30516,22,-,大﨑 翔太,SG/SF,04:33,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,3,0,-3
18174,24,〇,伊集 貴也,PG,24:10,0,0,5,0.0%,0,3,0.0%,0,0,-,2,2,4,5,1,3,0,0,2,1,5
8842,31,-,髙畠 佳介,SG,16:14,4,1,2,50.0%,0,1,0.0%,2,3,66.7%,0,2,2,1,0,0,0,0,3,2,4
22522,34,〇,ペリー・エリス,SF/PF,38:52,21,10,23,43.5%,1,7,14.3%,0,0,-,4,6,10,0,2,2,0,0,1,2,19
9339,89,-,坂井 耀平,PG,01:04,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,2,2,4,0,0,0,0,0,0,0,0
,,,合計,,200:00,78,31,78,39.7%,4,24,16.7%,12,22,54.5%,18,26,44,13,9,8,1,2,29,23,70
