id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
32997,0,〇,エリック・マーフィー,C/PF,28:21,24,10,14,71.4%,2,5,40.0%,2,2,100.0%,1,6,7,2,1,2,0,0,5,1,26
26879,1,-,シャヒード・デイビス,23:44,14,4,11,36.4%,0,3,0.0%,6,8,75.0%,1,2,3,0,2,1,0,1,4,6,8,
8673,5,-,友利 健哉,PG,05:24,0,0,0,-,0,0,-,0,0,-,0,0,0,1,0,0,0,0,0,0,1
8674,8,-,村上 慎也,PG,13:00,0,0,3,0.0%,0,1,0.0%,0,0,-,0,0,0,3,0,0,0,1,4,3,-2
9349,9,〇,神原 裕司,PG/SG,26:26,6,2,5,40.0%,2,5,40.0%,0,0,-,1,5,6,2,1,1,0,0,1,1,11
9075,10,-,菊池 広明,SG,02:37,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
30461,11,-,山内 翼,SG,09:40,4,2,3,66.7%,0,1,0.0%,0,0,-,0,0,0,0,0,0,0,0,1,1,3
9369,15,〇,チリジ・ネパウェ,21:39,16,5,8,62.5%,0,0,-,6,7,85.7%,3,4,7,1,0,0,0,0,4,6,22,
8677,21,〇,菅野 翔太,SF,25:21,11,4,6,66.7%,2,4,50.0%,1,2,50.0%,1,1,2,2,3,2,0,0,1,2,12
8671,24,〇,鈴木 大,PG/SG,18:51,6,2,4,50.0%,1,2,50.0%,1,2,50.0%,0,1,1,3,0,1,0,0,0,1,9
8526,32,-,武藤 修平,PF,09:06,4,1,2,50.0%,1,1,100.0%,1,2,50.0%,2,1,3,0,2,1,0,1,1,1,3
8711,33,-,喜久山 貴一,PG,15:51,10,4,10,40.0%,2,5,40.0%,0,0,-,0,1,1,1,2,0,0,0,2,1,3
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,3,3,6,0,2,0,0,0,0,0,0
,,,合計,,200:00,95,34,66,51.5%,10,27,37.0%,17,23,73.9%,12,24,36,15,13,8,0,3,23,23,100
