id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
18847,00,〇,ブラッドリー・ウォルドー,20:17,8,4,6,66.7%,0,0,-,0,0,-,0,3,3,2,1,0,0,1,3,0,6,
12597,1,-,宮崎 恭行,PG,08:51,5,2,2,100.0%,1,1,100.0%,0,0,-,0,1,1,2,0,1,0,0,1,0,8
20023,3,-,松山 駿,PG,28:52,15,5,8,62.5%,4,6,66.7%,1,2,50.0%,0,1,1,1,2,1,1,1,2,3,13
30463,8,-,ジャワラ ジョゼフ,SF,03:42,2,0,1,0.0%,0,0,-,2,2,100.0%,0,0,0,1,0,0,0,1,2,1,0
8520,11,〇,杉本 慶,SG,28:03,13,4,7,57.1%,3,4,75.0%,2,2,100.0%,0,4,4,6,2,1,0,1,4,3,18
9433,12,-,アンドリュー・フィッツジェラルド,C/PF,17:59,13,5,9,55.6%,0,0,-,3,4,75.0%,1,0,1,3,1,0,1,1,1,4,14
8522,15,-,ソウ シェリフ,SF/PF,17:38,8,4,8,50.0%,0,0,-,0,0,-,5,3,8,0,1,1,0,0,3,2,11
22490,21,-,会田 太朗,PF,01:44,2,1,1,100.0%,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,2
20004,22,-,林 瑛司,SF,01:05,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,1,1
8461,23,〇,横江 豊,PG,26:42,10,2,6,33.3%,0,0,-,6,7,85.7%,0,3,3,4,2,4,0,2,1,6,18
9382,33,〇,ジェロウム・ティルマン,PF,24:20,8,3,4,75.0%,2,2,100.0%,0,0,-,2,4,6,1,1,2,0,0,1,1,14
8569,45,〇,鹿野 洵生,SF,20:47,6,2,4,50.0%,2,2,100.0%,0,0,-,0,0,0,0,0,0,0,0,4,0,0
