id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
30397,2,-,栗原 翼,PG/SG,16:31,5,2,8,25.0%,1,2,50.0%,0,0,-,0,0,0,3,0,1,0,1,1,0,1
33040,4,-,ケイン・ロバーツ,PG/SG,03:16,0,0,0,-,0,0,-,0,0,-,0,0,0,1,1,0,0,0,0,2,2
18171,8,〇,紺野 ニズベット 翔,SG/SF,21:55,2,1,3,33.3%,0,0,-,0,0,-,0,1,1,2,0,1,2,0,4,0,2
8729,10,-,岡田 優介,SG,27:46,31,10,16,62.5%,6,11,54.5%,5,7,71.4%,0,2,2,2,2,0,0,0,0,5,30
8537,13,-,坂井 レオ,C/PF,01:42,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,0,0,0,1
18478,14,〇,久岡 幸太郎,PG,34:16,2,1,5,20.0%,0,1,0.0%,0,0,-,0,1,1,9,2,3,0,1,2,2,8
8681,17,-,綿貫 瞬,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
25149,20,〇,イシュマエル・レーン,16:56,11,4,9,44.4%,0,2,0.0%,3,3,100.0%,1,4,5,2,4,2,0,0,0,2,13,
30441,24,〇,髙木 慎哉,SG,20:39,5,2,6,33.3%,1,4,25.0%,0,0,-,1,6,7,1,1,1,0,0,1,0,8
26878,32,〇,ナンナ・エグー,C,33:21,2,1,6,16.7%,0,2,0.0%,0,0,-,0,8,8,5,3,1,3,0,3,0,8
8679,41,-,輪島 射矢,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
9261,52,-,アレクサンダー・ジョーンズ,PF,23:38,23,9,13,69.2%,0,0,-,5,10,50.0%,4,4,8,0,2,1,0,1,4,5,21
