id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
9214,3,-,横塚 蛍,PG/SG,15:24,9,3,5,60.0%,2,4,50.0%,1,2,50.0%,0,1,1,3,1,0,0,0,2,1,8
8591,5,〇,アイザック・バッツ,C,35:33,14,6,10,60.0%,0,1,0.0%,2,3,66.7%,4,7,11,6,3,1,0,0,5,6,25
5100000008,7,-,東野 恒紀,03:33,2,0,1,0.0%,0,0,-,2,4,50.0%,2,2,4,1,1,0,0,1,0,2,4,
8594,8,〇,長谷川 智也,SG,42:28,11,4,15,26.7%,1,4,25.0%,2,3,66.7%,0,7,7,9,1,0,0,3,4,3,10
9217,13,-,西片 翼,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
9219,16,〇,鮫島 宗一郎,SG/SF,27:02,4,2,5,40.0%,0,0,-,0,0,-,0,2,2,1,1,0,0,0,2,2,3
26905,24,-,チャールズ・ヒンクル,SF/PF,20:16,11,5,13,38.5%,0,4,0.0%,1,1,100.0%,2,0,2,0,4,0,3,0,3,1,0
9222,30,-,村田 翔,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,
10817,33,〇,クレイグ・ブラッキンズ,C/PF,32:20,26,10,13,76.9%,4,7,57.1%,2,4,50.0%,0,8,8,4,3,1,1,0,4,2,29
12658,49,〇,飯田 鴻朗,PG,30:42,3,1,3,33.3%,0,0,-,1,2,50.0%,0,4,4,3,3,0,1,0,2,1,4
10259,55,-,小林 礼秧,SG/SF,01:50,0,0,2,0.0%,0,2,0.0%,0,0,-,0,0,0,0,0,0,0,0,0,0,-2
8648,91,-,落合 知也,SF/PF,15:52,5,2,6,33.3%,1,3,33.3%,0,0,-,1,0,1,1,0,0,0,0,4,1,0
