id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
18404,2,-,ルブライアン・ナッシュ,SF,24:33,23,8,13,61.5%,0,1,0.0%,7,10,70.0%,1,3,4,2,2,1,2,0,2,7,27
9392,5,〇,ダニエル・ミラー,C,26:27,12,5,8,62.5%,0,0,-,2,2,100.0%,3,7,10,3,1,3,0,0,2,3,25
10263,7,〇,澤邉 圭太,SG,29:18,14,5,10,50.0%,2,5,40.0%,2,2,100.0%,0,4,4,7,3,0,0,0,4,2,15
9413,9,-,矢代 雪次郎,PG/SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
30526,15,-,渡辺 翔太,PG,07:58,3,1,2,50.0%,1,2,50.0%,0,0,-,0,0,0,0,1,0,0,0,2,0,-1
8489,18,-,鎌田 裕也,PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
12634,21,〇,エリック・ジェイコブセン,C/PF,29:00,15,7,9,77.8%,0,1,0.0%,1,2,50.0%,3,2,5,2,1,0,2,0,3,5,22
30347,22,〇,笹倉 怜寿,PG,27:02,17,7,13,53.8%,2,5,40.0%,1,2,50.0%,1,2,3,3,1,1,0,0,1,3,18
8652,26,-,金城 茂之,SG/SF,25:50,4,2,9,22.2%,0,4,0.0%,0,0,-,1,1,2,4,0,0,0,0,2,1,2
18170,32,-,臼井 弘樹,PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
8840,58,-,寒竹 隼人,SF,09:42,0,0,1,0.0%,0,1,0.0%,0,0,-,0,0,0,0,0,0,0,0,0,0,-1
8481,91,〇,片岡 大晴,SG,20:11,2,1,5,20.0%,0,4,0.0%,0,0,-,0,3,3,2,1,1,0,0,2,0,1
