id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
10834,0,〇,アンドリュー・ランダル,SF,29:28,18,5,10,50.0%,0,1,0.0%,8,10,80.0%,0,3,3,10,1,1,1,1,2,8,30
8767,1,〇,中島 良史,PG/SG,25:41,13,5,6,83.3%,3,3,100.0%,0,0,-,0,1,1,2,0,0,0,0,2,0,13
8665,4,-,和田 保彦,PG/SG,09:58,10,3,5,60.0%,1,2,50.0%,3,4,75.0%,0,1,1,1,1,1,0,1,3,2,7
15831,6,-,新号 健,PG,12:43,0,0,0,-,0,0,-,0,0,-,0,0,0,2,0,1,0,0,3,0,0
20025,7,-,ナナー ダニエル弾,PF,10:11,6,3,4,75.0%,0,0,-,0,2,0.0%,0,1,1,1,1,0,0,0,3,1,2
20019,10,-,鶴田 美勇士,C/PF,05:41,2,1,1,100.0%,0,0,-,0,0,-,0,3,3,1,0,1,0,0,0,0,7
15839,11,-,秋山 熙,PG,06:30,2,0,0,-,0,0,-,2,4,50.0%,0,2,2,3,0,0,0,0,0,2,7
15826,17,-,飯田 遼,SG/SF,13:14,8,3,8,37.5%,1,3,33.3%,1,2,50.0%,0,1,1,0,0,1,0,1,1,1,3
30439,22,-,ランス・グルボーン,SF/PF,17:29,6,2,7,28.6%,2,6,33.3%,0,0,-,0,5,5,3,2,2,0,0,0,0,9
10880,28,〇,川邉 亮平,SF,20:16,7,3,4,75.0%,1,1,100.0%,0,0,-,2,5,7,2,2,0,0,1,2,1,11
33025,33,〇,キース・クラントン,C,27:22,14,6,11,54.5%,0,0,-,2,2,100.0%,1,10,11,6,0,2,4,0,1,2,33
8606,37,〇,河野 誠司,PG,21:27,14,6,9,66.7%,2,3,66.7%,0,0,-,0,2,2,2,1,0,0,0,2,0,12
