id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
8618,6,〇,藤岡 昂希,SF,14:51,2,1,3,33.3%,0,0,-,0,2,0.0%,0,0,0,0,1,1,1,1,4,2,-4
33026,11,-,森田 雄次,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
12605,14,-,高比良 寛治,PG/SG,28:13,10,2,8,25.0%,2,3,66.7%,4,4,100.0%,0,2,2,6,2,1,0,0,4,3,10
8488,15,〇,谷口 光貴,SG/SF,35:14,17,6,9,66.7%,5,7,71.4%,0,0,-,1,1,2,2,2,0,0,0,2,0,14
33027,25,-,リース・ヴァーグ,PF,21:35,8,2,3,66.7%,2,3,66.7%,2,2,100.0%,1,6,7,2,1,0,0,0,2,2,15
10836,29,-,安部 瑞基,SG,08:55,0,0,3,0.0%,0,3,0.0%,0,0,-,0,0,0,2,1,0,0,0,1,0,-3
10831,30,〇,テレンス・ウッドベリー,SF/PF,31:22,27,6,10,60.0%,0,2,0.0%,15,16,93.8%,0,7,7,4,5,2,0,0,3,13,40
30511,33,-,金久保 翔,SF/PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
9218,34,〇,兒玉 貴通,PG,32:47,20,5,10,50.0%,4,5,80.0%,6,6,100.0%,1,4,5,9,2,0,0,0,3,3,27
8762,42,〇,ケビン・コッツァー,C/PF,27:03,11,5,11,45.5%,0,0,-,1,2,50.0%,1,8,9,2,0,0,0,0,1,1,15
8837,55,-,横尾 達泰,SG/SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
