id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
32997,0,〇,エリック・マーフィー,C/PF,34:14,8,3,9,33.3%,2,7,28.6%,0,0,-,2,11,13,3,0,0,1,0,4,0,14
8673,5,〇,友利 健哉,PG,23:32,10,3,5,60.0%,2,2,100.0%,2,2,100.0%,0,1,1,4,1,0,0,0,3,1,10
8674,8,-,村上 慎也,PG,13:44,5,2,5,40.0%,1,4,25.0%,0,2,0.0%,0,0,0,3,0,1,0,0,1,1,4
9075,10,-,菊池 広明,SG,01:09,0,0,0,-,0,0,-,0,0,-,0,0,0,0,1,0,0,0,3,0,-4
30461,11,-,山内 翼,SG,06:46,2,1,3,33.3%,0,0,-,0,0,-,0,1,1,0,0,1,0,0,2,1,1
8677,21,〇,菅野 翔太,SF,28:14,6,2,9,22.2%,2,8,25.0%,0,0,-,0,1,1,0,1,1,0,0,4,1,-3
26928,23,-,マーク・セントフォート,SF/PF,18:59,10,3,8,37.5%,0,2,0.0%,4,4,100.0%,0,4,4,3,4,2,1,1,1,3,12
8671,24,-,鈴木 大,PG/SG,14:45,9,2,5,40.0%,2,4,50.0%,3,3,100.0%,0,0,0,1,0,0,0,0,0,1,8
8526,32,〇,武藤 修平,PF,17:43,7,3,3,100.0%,0,0,-,1,1,100.0%,0,3,3,0,0,0,0,0,1,3,12
8711,33,-,喜久山 貴一,PG,14:07,9,3,7,42.9%,3,7,42.9%,0,0,-,0,0,0,1,0,1,0,0,3,1,5
12648,40,〇,ジョーダン・フェイゾン,C,26:47,15,5,13,38.5%,0,0,-,5,5,100.0%,5,3,8,3,3,0,4,0,3,5,21
