id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
10834,0,〇,アンドリュー・ランダル,SF,32:47,26,7,13,53.8%,2,5,40.0%,10,11,90.9%,1,4,5,3,1,1,0,0,1,9,35
8767,1,〇,中島 良史,PG/SG,22:24,5,2,5,40.0%,1,3,33.3%,0,0,-,0,1,1,1,1,0,0,0,4,1,0
8665,4,-,和田 保彦,PG/SG,14:20,0,0,0,-,0,0,-,0,0,-,0,0,0,0,1,0,0,0,1,0,-2
15831,6,-,新号 健,PG,19:08,7,3,4,75.0%,1,2,50.0%,0,0,-,0,0,0,4,2,1,0,0,1,0,8
20025,7,-,ナナー ダニエル弾,PF,03:26,2,1,5,20.0%,0,1,0.0%,0,0,-,2,0,2,0,0,0,1,0,1,1,1
20019,10,-,鶴田 美勇士,C/PF,17:18,10,4,8,50.0%,0,0,-,2,2,100.0%,0,4,4,0,1,1,0,1,4,2,7
15826,17,-,飯田 遼,SG/SF,16:44,5,1,3,33.3%,1,3,33.3%,2,2,100.0%,0,1,1,1,0,0,0,0,0,1,6
30439,22,-,ランス・グルボーン,SF/PF,24:57,5,2,7,28.6%,1,5,20.0%,0,0,-,0,10,10,1,1,0,0,1,2,0,7
8672,26,-,上杉 翔,SF/PF,04:49,0,0,1,0.0%,0,1,0.0%,0,0,-,0,0,0,0,0,0,0,0,1,0,-2
10880,28,〇,川邉 亮平,SF,06:32,2,1,4,25.0%,0,1,0.0%,0,0,-,0,1,1,0,1,1,0,0,1,0,-1
33025,33,〇,キース・クラントン,C,21:54,8,3,6,50.0%,0,0,-,2,2,100.0%,1,4,5,3,1,1,0,1,4,1,9
8606,37,〇,河野 誠司,PG,15:40,0,0,4,0.0%,0,3,0.0%,0,0,-,0,1,1,2,0,0,0,1,0,0,-2
