id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
26885,0,-,山本 郁也,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
33100,2,〇,レイナルド・ガルシア,PG,23:35,21,7,11,63.6%,2,4,50.0%,5,7,71.4%,0,4,4,9,1,1,0,1,5,7,29
10832,3,-,澁田 怜音,PG,31:29,10,3,10,30.0%,0,4,0.0%,4,4,100.0%,0,1,1,12,3,0,0,0,2,3,14
33101,6,〇,マルコス・マタ,SF,15:20,8,3,6,50.0%,2,4,50.0%,0,0,-,0,3,3,3,2,1,0,1,5,3,7
9321,8,〇,西 裕太郎,PG,36:08,25,9,16,56.3%,6,11,54.5%,1,1,100.0%,2,3,5,4,1,1,0,0,3,1,25
8666,11,-,德川 慎之介,SG,30:39,9,4,5,80.0%,1,1,100.0%,0,0,-,3,2,5,1,0,1,0,0,5,0,10
8562,13,〇,小松 秀平,SG,26:17,11,4,9,44.4%,3,7,42.9%,0,0,-,0,3,3,0,0,0,0,0,3,1,7
32988,25,-,ケニー・ローソン,C,34:33,17,5,11,45.5%,0,4,0.0%,7,10,70.0%,1,9,10,3,1,1,3,0,4,6,25
26888,34,-,井上 諒汰,SF,10:24,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1,0,-1
22398,58,-,鈴木 龍雄,SG,06:45,3,1,1,100.0%,1,1,100.0%,0,0,-,0,0,0,0,0,0,0,0,2,0,1
26889,66,-,中西 佑介,PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
5100000015,99,〇,川真田 紘也,C,09:51,2,1,1,100.0%,0,0,-,0,0,-,1,1,2,0,0,0,0,0,1,0,3
