id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
8642,0,-,遥 天翼,SF,09:04,0,0,0,-,0,0,-,0,0,-,0,1,1,1,1,0,0,0,2,1,0
9311,6,〇,小林 大祐,SG,29:40,10,3,7,42.9%,0,1,0.0%,4,6,66.7%,1,1,2,0,1,0,0,0,3,5,7
9340,11,〇,チェハーレス・タプスコット,PF,26:45,13,3,16,18.8%,0,3,0.0%,7,10,70.0%,4,2,6,3,2,3,1,2,2,6,10
18845,13,-,中村 功平,PG,23:31,7,3,8,37.5%,1,4,25.0%,0,0,-,1,3,4,1,0,1,0,0,0,0,8
8621,14,-,髙橋 祐二,PG,13:08,6,3,4,75.0%,0,1,0.0%,0,0,-,0,0,0,1,1,1,0,0,1,0,5
12595,15,〇,マーク・トラソリーニ,C/PF,32:42,24,9,20,45.0%,1,4,25.0%,5,8,62.5%,2,8,10,1,0,3,0,1,2,6,27
22486,21,-,鎌田 真,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
8561,25,〇,平尾 充庸,PG,33:25,7,3,8,37.5%,1,3,33.3%,0,0,-,1,5,6,4,0,0,0,0,2,2,12
8604,27,〇,眞庭 城聖,SF,10:01,3,1,3,33.3%,1,2,50.0%,0,0,-,0,2,2,3,1,1,0,1,3,0,2
22405,29,-,鶴巻 啓太,SG/SF,03:24,0,0,0,-,0,0,-,0,0,-,0,1,1,1,0,0,0,0,0,0,2
9411,31,-,アブドゥーラ・クウソー,C/PF,18:20,8,4,7,57.1%,0,0,-,0,0,-,2,3,5,0,1,1,0,0,1,2,11
