id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9336,0,-,大澤 歩,PG,02:29,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8563,1,〇,大石 慎之介,SG,18:45,8,3,4,75.0%,2,2,100.0%,0,1,0.0%,0,1,1,1,1,3,0,0,1,0,0,10
9418,3,〇,エヴァンス ルーク,PF,26:57,12,5,12,41.7%,1,4,25.0%,1,2,50.0%,3,3,6,2,0,1,1,1,4,0,0,14
9395,5,-,山下 颯,SG,02:12,2,1,2,50.0%,0,1,0.0%,0,0,-,0,0,0,0,0,1,0,0,0,0,0,2
8669,7,-,古橋 広樹,SG,02:12,0,0,0,-,0,0,-,0,0,-,1,0,1,0,1,0,0,0,1,0,0,0
30523,8,-,マイケル・オジョ,PG,21:05,10,4,12,33.3%,2,5,40.0%,0,0,-,0,3,3,3,1,2,0,0,2,0,0,9
25143,12,-,福田 陽平,SG,22:12,12,4,8,50.0%,4,8,50.0%,0,0,-,0,0,0,1,0,1,0,0,1,0,0,10
36416,23,〇,ノヴァー・ガドソン,SF,25:06,18,6,13,46.2%,0,2,0.0%,6,8,75.0%,4,4,8,4,2,1,0,0,1,0,0,20
27048,25,〇,ムッサ・ダマ,C,30:52,16,7,13,53.8%,0,1,0.0%,2,3,66.7%,1,3,4,5,1,1,0,0,3,0,0,18
9319,41,-,加納 誠也,PF,19:59,7,1,2,50.0%,0,0,-,5,6,83.3%,3,1,4,0,1,1,0,0,2,0,0,9
12609,81,-,石川 尚樹,PG,18:46,6,2,3,66.7%,0,0,-,2,3,66.7%,0,1,1,0,2,2,0,0,1,0,0,5
8557,92,〇,村越 圭佑,SF,09:25,0,0,1,0.0%,0,1,0.0%,0,0,-,0,1,1,0,0,1,0,0,0,0,0,1
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,2,1,3,0,0,0,0,0,0,0,0,3
,,,合計,,200:00,91,33,70,47.1%,9,24,37.5%,16,23,69.6%,14,18,32,16,9,14,1,1,16,0,0,101
