id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
26883,0,-,岩松 永太郎,PG,21:05,5,2,7,28.6%,1,4,25.0%,0,0,-,0,0,0,2,1,3,0,1,3,0,0,4
36414,1,-,ワース・スミス,PF,14:53,5,2,7,28.6%,1,3,33.3%,0,0,-,3,4,7,0,0,2,1,0,1,0,0,10
18414,3,〇,園田 大祐,SF,27:58,14,5,12,41.7%,1,6,16.7%,3,5,60.0%,1,1,2,2,0,0,0,0,1,0,0,9
18415,8,〇,田中 昌寛,SG,23:45,5,1,6,16.7%,1,4,25.0%,2,2,100.0%,0,0,0,0,1,0,0,0,1,0,0,-1
36339,9,〇,ママドゥ・グアイ,PF,29:04,31,12,18,66.7%,1,4,25.0%,6,12,50.0%,3,7,10,2,1,4,0,0,4,0,0,34
18419,17,-,杉本 憲男,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
18420,18,-,山田 洋介,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
30470,22,-,増本 優太,PF,09:35,2,1,3,33.3%,0,0,-,0,0,-,0,0,0,0,1,0,0,0,2,0,0,-1
36415,24,〇,アレックス・フロレスカ,C,30:23,11,4,6,66.7%,0,0,-,3,4,75.0%,2,8,10,4,3,0,0,0,4,0,0,19
30346,30,-,フィリップ・アブ,PF,05:40,2,1,1,100.0%,0,0,-,0,0,-,0,2,2,0,0,0,0,0,2,0,0,4
30524,33,-,荒川 凌矢,PG,14:59,3,1,4,25.0%,0,2,0.0%,1,1,100.0%,0,1,1,1,3,1,0,0,0,0,0,0
22393,37,〇,吉田 健太郎,PG,22:38,7,2,6,33.3%,2,4,50.0%,1,2,50.0%,1,2,3,1,0,0,0,0,1,0,0,6
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,0,1,0,2,0,0,0,0,0,0,-1
,,,合計,,200:00,85,31,70,44.3%,7,27,25.9%,16,26,61.5%,11,25,36,12,12,10,1,1,19,0,0,83
