id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9354,2,〇,ロバート・ドジャー,PF,15:52,10,3,4,75.0%,0,0,-,4,5,80.0%,1,1,2,1,2,1,1,1,4,0,0,11
9246,3,〇,髙橋 幸大,PG,18:35,4,2,6,33.3%,0,2,0.0%,0,0,-,0,1,1,2,1,0,0,0,1,0,0,2
8715,5,-,千葉 慎也,SF,06:05,0,0,0,-,0,0,-,0,0,-,1,1,2,0,0,0,0,0,1,0,0,2
30440,7,-,原田 剛成,SG,13:34,2,1,2,50.0%,0,0,-,0,0,-,0,1,1,5,0,1,1,0,2,0,0,9
25136,8,〇,エリック・ニッセン,PF,21:22,26,11,15,73.3%,0,1,0.0%,4,6,66.7%,3,9,12,3,2,3,0,1,2,0,0,36
10881,10,-,仁平 拓海,PF,04:38,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,0,2,0,0,1
26876,13,〇,青木 龍史,PG,22:25,20,7,9,77.8%,6,8,75.0%,0,0,-,1,1,2,1,1,0,0,0,0,0,0,20
9234,16,〇,伊藤 良太,PG,20:32,0,0,0,-,0,0,-,0,0,-,0,3,3,8,1,0,0,0,0,0,0,10
12591,23,-,バンバ ・ジュフ,PF,18:57,10,4,5,80.0%,1,1,100.0%,1,2,50.0%,0,4,4,0,2,0,0,0,3,0,0,10
32975,30,-,横川 俊樹,PG,23:02,8,4,11,36.4%,0,2,0.0%,0,0,-,1,3,4,1,1,1,0,0,1,0,0,6
12607,31,-,クリストファー・オリビエ,PF,21:21,22,10,12,83.3%,0,0,-,2,8,25.0%,2,7,9,2,1,2,2,0,2,0,0,28
9410,51,-,安慶 大樹,PF,13:37,7,3,5,60.0%,1,2,50.0%,0,0,-,1,1,2,2,1,0,0,0,2,0,0,8
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,2,3,0,2,0,0,0,0,0,0,1
,,,合計,,200:00,109,45,69,65.2%,8,16,50.0%,11,21,52.4%,11,35,46,25,14,8,4,2,20,0,0,144
