id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
15752,2,-,岡田 雄三,PG,27:20,14,6,13,46.2%,0,5,0.0%,2,4,50.0%,0,3,3,4,1,3,0,1,2,0,0,14
10853,7,-,寺部 亮佑,PF,05:25,2,0,0,-,0,0,-,2,4,50.0%,0,1,1,0,0,0,0,0,3,0,0,1
9279,8,-,五十嵐 貴志,PF,17:34,0,0,4,0.0%,0,1,0.0%,0,0,-,1,5,6,0,0,0,0,0,1,0,0,2
32958,10,-,村岸 航,SF,11:36,2,0,1,0.0%,0,1,0.0%,2,2,100.0%,0,1,1,0,0,1,0,0,3,0,0,3
9282,17,〇,石原 裕貴,PG,12:40,7,3,6,50.0%,0,2,0.0%,1,2,50.0%,0,2,2,5,0,2,0,0,1,0,0,12
9316,22,〇,ジョシュ・ペッパーズ,SF,32:58,15,5,14,35.7%,1,3,33.3%,4,7,57.1%,2,8,10,4,0,0,0,1,2,0,0,17
15835,24,-,卜部 兼慎,SF,12:26,2,1,3,33.3%,0,2,0.0%,0,0,-,0,0,0,1,0,1,0,0,0,0,0,2
9285,33,〇,藤田 俊祐,SF,22:26,4,2,7,28.6%,0,2,0.0%,0,0,-,0,0,0,0,0,1,0,1,3,0,0,0
9435,34,〇,カイル・リチャードソン,C,32:31,28,7,15,46.7%,2,4,50.0%,12,16,75.0%,3,8,11,2,1,6,1,2,2,0,0,35
9287,37,〇,渡邊 拓実,PG,13:16,5,1,1,100.0%,1,1,100.0%,2,2,100.0%,0,0,0,1,0,2,0,0,3,0,0,8
15810,38,-,宮脇 隼人,C,09:06,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,1,0,0,0,0,0,1
9289,55,-,熊澤 恭平,SG,02:42,0,0,1,0.0%,0,1,0.0%,0,0,-,1,0,1,0,0,0,0,0,0,0,0,0
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,3,3,6,0,1,0,0,0,0,0,0,5
,,,合計,,200:00,79,25,65,38.5%,4,22,18.2%,25,37,67.6%,10,31,41,17,3,17,1,5,20,0,0,100
