id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9208,0,〇,上田 雅也,SG,28:34,5,2,7,28.6%,1,3,33.3%,0,0,-,0,3,3,3,2,0,0,0,2,0,0,4
12619,2,-,山口 健大,SF,06:29,0,0,1,0.0%,0,1,0.0%,0,0,-,0,3,3,0,0,1,0,0,1,0,0,3
9243,6,-,佐野 隆司,SF,05:06,1,0,4,0.0%,0,2,0.0%,1,2,50.0%,0,0,0,0,0,0,0,0,0,0,0,-4
25138,11,-,山梨 歩,PG,07:38,4,1,4,25.0%,1,2,50.0%,1,2,50.0%,0,1,1,0,0,1,0,2,0,0,0,2
9254,14,〇,地久里 謙成,SF,31:44,12,5,11,45.5%,2,6,33.3%,0,0,-,1,3,4,2,2,0,0,1,1,0,0,10
10885,15,〇,青木 ブレイク,PF,18:56,0,0,5,0.0%,0,0,-,0,0,-,2,5,7,1,0,0,1,0,4,0,0,4
10260,18,-,ニヨキゼラ・イーヴェ,C,11:14,4,2,6,33.3%,0,0,-,0,0,-,2,1,3,0,1,0,0,0,3,0,0,2
12613,19,-,フォファナ・ママドゥ,SF,00:09,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9434,24,〇,ジョセフ・ウォルフィンガー,C,28:46,16,5,12,41.7%,1,4,25.0%,5,7,71.4%,6,3,9,0,2,1,1,0,2,0,0,16
8545,25,-,山口 力也,SG,10:45,2,1,3,33.3%,0,2,0.0%,0,1,0.0%,1,1,2,1,1,1,0,0,0,0,0,2
8758,54,-,澤地 サミュエル ジュニア,PF,21:04,2,1,4,25.0%,0,2,0.0%,0,0,-,3,2,5,1,0,2,0,0,2,0,0,7
9262,77,〇,大金 広弥,PG,29:35,11,5,15,33.3%,1,2,50.0%,0,0,-,0,3,3,2,2,1,0,0,3,0,0,5
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,3,2,5,0,4,0,0,0,0,0,0,1
,,,合計,,200:00,57,22,72,30.6%,6,24,25.0%,7,12,58.3%,18,27,45,10,14,7,2,3,18,0,0,52
