id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
26883,0,-,岩松 永太郎,PG,27:31,0,0,2,0.0%,0,0,-,0,0,-,2,4,6,0,1,2,0,1,3,0,0,5
36414,1,-,ワース・スミス,PF,16:23,6,3,8,37.5%,0,2,0.0%,0,0,-,0,7,7,0,3,0,0,0,2,0,0,5
18414,3,-,園田 大祐,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
18415,8,〇,田中 昌寛,SG,35:13,11,4,11,36.4%,3,8,37.5%,0,2,0.0%,0,2,2,0,1,0,0,1,1,0,0,3
36339,9,〇,ママドゥ・グアイ,PF,26:24,25,8,18,44.4%,3,7,42.9%,6,7,85.7%,0,6,6,2,3,0,0,0,3,0,0,19
18419,17,-,杉本 憲男,SG,03:46,2,1,1,100.0%,0,0,-,0,0,-,0,1,1,2,1,0,0,0,0,0,0,4
18420,18,-,山田 洋介,SF,07:16,0,0,2,0.0%,0,0,-,0,0,-,1,2,3,0,0,0,0,0,2,0,0,1
30470,22,〇,増本 優太,PF,10:00,0,0,2,0.0%,0,1,0.0%,0,0,-,2,1,3,0,0,0,0,0,0,0,0,1
36415,24,〇,アレックス・フロレスカ,C,17:07,5,2,6,33.3%,0,0,-,1,2,50.0%,0,2,2,3,2,0,1,0,2,0,0,4
30346,30,-,フィリップ・アブ,PF,20:06,8,3,12,25.0%,0,1,0.0%,2,4,50.0%,2,7,9,2,1,0,5,1,0,0,0,12
22393,37,〇,吉田 健太郎,PG,36:14,4,2,8,25.0%,0,3,0.0%,0,0,-,1,4,5,4,0,3,0,0,2,0,0,10
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,3,2,5,0,0,0,0,0,0,0,0,5
,,,合計,,200:00,61,23,70,32.9%,6,22,27.3%,9,15,60.0%,11,38,49,13,12,5,6,3,15,0,0,69
