id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9354,2,〇,ロバート・ドジャー,PF,22:53,16,6,8,75.0%,0,0,-,4,4,100.0%,1,5,6,1,0,0,1,0,0,0,0,22
9246,3,-,髙橋 幸大,PG,21:20,8,1,6,16.7%,1,2,50.0%,5,5,100.0%,1,5,6,2,2,0,0,1,0,0,0,9
8715,5,〇,千葉 慎也,SF,20:02,6,2,6,33.3%,1,4,25.0%,1,2,50.0%,0,0,0,4,0,0,0,0,2,0,0,5
30440,7,-,原田 剛成,SG,01:27,0,0,1,0.0%,0,1,0.0%,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-1
25136,8,〇,エリック・ニッセン,PF,24:13,21,8,9,88.9%,0,0,-,5,12,41.7%,2,10,12,3,1,1,2,0,2,0,0,30
10881,10,-,仁平 拓海,PF,12:21,9,3,7,42.9%,2,6,33.3%,1,2,50.0%,0,1,1,0,0,0,0,0,2,0,0,5
26876,13,〇,青木 龍史,PG,17:13,15,5,8,62.5%,3,4,75.0%,2,2,100.0%,0,4,4,1,1,0,0,1,1,0,0,16
9234,16,〇,伊藤 良太,PG,29:02,9,3,7,42.9%,2,5,40.0%,1,1,100.0%,2,3,5,13,1,0,0,0,3,0,0,22
12591,23,-,バンバ ・ジュフ,PF,15:47,2,1,6,16.7%,0,0,-,0,0,-,1,4,5,2,1,0,0,0,0,0,0,3
32975,30,-,横川 俊樹,PG,11:21,5,2,5,40.0%,1,4,25.0%,0,0,-,0,0,0,2,2,0,0,0,4,0,0,2
12607,31,-,クリストファー・オリビエ,PF,17:07,12,5,7,71.4%,0,0,-,2,3,66.7%,3,9,12,0,2,0,0,0,0,0,0,19
9410,51,-,安慶 大樹,PF,07:14,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,0,4,4,0,0,0,0,0,1,0,0,4
,,,合計,,200:00,103,36,70,51.4%,10,26,38.5%,21,31,67.7%,10,45,55,28,10,1,3,2,16,0,0,136
