id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
22395,7,-,長島 蓮,PG,20:57,11,5,6,83.3%,0,1,0.0%,1,2,50.0%,1,3,4,1,0,2,0,0,3,0,0,16
20022,10,〇,髙橋 浩平,PF,34:19,2,1,12,8.3%,0,7,0.0%,0,0,-,1,1,2,0,0,1,1,1,2,0,0,-5
15843,11,〇,須田 昂太郎,SG,30:00,15,3,13,23.1%,3,9,33.3%,6,6,100.0%,1,3,4,0,1,0,1,1,3,0,0,9
30514,12,〇,山本 浩太,C,10:35,0,0,1,0.0%,0,0,-,0,0,-,2,1,3,1,0,0,0,0,1,0,0,3
12599,14,〇,冨岡 大地,PG,40:00,27,11,21,52.4%,5,9,55.6%,0,0,-,1,5,6,4,3,1,0,1,2,0,0,25
8544,15,-,下山 貴裕,PF,08:19,0,0,2,0.0%,0,0,-,0,0,-,0,1,1,0,0,0,0,0,1,0,0,-1
9273,21,-,鈴木 豊,SF,04:19,0,0,2,0.0%,0,1,0.0%,0,0,-,1,0,1,0,0,0,0,0,2,0,0,-1
9438,22,-,中島 卓也,SG,02:10,0,0,3,0.0%,0,3,0.0%,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-3
8716,23,-,小寺 裕介,SG,07:54,0,0,3,0.0%,0,3,0.0%,0,0,-,0,0,0,0,0,0,0,0,1,0,0,-3
9448,24,〇,アンドレ・マレー,SG,38:59,20,7,18,38.9%,1,5,20.0%,5,7,71.4%,1,6,7,1,0,1,0,0,4,0,0,16
9406,25,-,玉田 博人,SG,02:28,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,2,0,0,0
26932,29,-,田中 翔大,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,0,6,6,0,1,0,0,0,0,0,0,5
,,,合計,,200:00,75,27,81,33.3%,9,38,23.7%,12,15,80.0%,8,26,34,7,5,5,2,3,21,0,0,61
