id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
35027,0,-,喜久山 アレックス,PG,01:03,0,0,1,0.0%,0,0,-,0,0,-,0,0,0,0,1,0,0,0,0,0,0,-2
9396,5,〇,鮫島 和人,PG,26:32,3,1,5,20.0%,0,1,0.0%,1,2,50.0%,1,1,2,3,1,2,0,0,3,0,0,4
9401,10,-,林 亮太,PG,09:06,0,0,1,0.0%,0,1,0.0%,0,0,-,0,0,0,1,1,1,0,0,1,0,0,0
26887,11,-,栗原 信彦,SF,03:26,0,0,1,0.0%,0,1,0.0%,0,0,-,0,1,1,1,0,0,0,0,0,0,0,1
9402,12,-,藤田 浩司,SF,22:22,4,2,4,50.0%,0,0,-,0,4,0.0%,1,5,6,3,1,0,0,0,2,0,0,6
18412,25,-,田中 幸之介,PG,12:25,2,1,3,33.3%,0,2,0.0%,0,0,-,0,0,0,2,1,0,0,0,0,0,0,1
36413,33,-,キエキエ・トピー・アリ,C,18:09,15,7,9,77.8%,0,0,-,1,1,100.0%,2,7,9,0,2,2,0,0,1,0,0,22
32991,35,〇,ディオップ マム シェッハ イブラヒマ,C,31:59,7,2,14,14.3%,0,3,0.0%,3,6,50.0%,2,8,10,1,5,0,1,0,2,0,0,-1
9409,41,〇,松崎 圭介,SG,22:19,11,4,10,40.0%,3,9,33.3%,0,0,-,1,3,4,1,2,0,0,0,3,0,0,8
8743,58,-,永山 雄太,SG,05:47,0,0,4,0.0%,0,3,0.0%,0,0,-,2,0,2,1,0,0,0,0,1,0,0,-1
18425,59,〇,福田 惟吹,PF,25:40,6,2,7,28.6%,0,0,-,2,2,100.0%,3,0,3,0,0,1,0,2,2,0,0,5
15842,77,〇,川上 貴一,SF,21:12,9,4,10,40.0%,1,6,16.7%,0,2,0.0%,0,0,0,2,2,1,0,1,1,0,0,2
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,3,1,4,0,0,0,0,0,0,0,0,4
,,,合計,,200:00,57,23,69,33.3%,4,26,15.4%,7,17,41.2%,15,26,41,15,16,7,1,3,16,0,0,49
