id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
26882,1,-,宇野 善昭,PF,01:44,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0
9457,3,-,モーガン・ヒカル・エイケン,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
15824,8,-,新川 敬大,SF,25:56,17,6,9,66.7%,4,6,66.7%,1,1,100.0%,1,3,4,1,1,0,0,1,3,0,0,18
10892,9,〇,中野 広大,SG,34:41,14,5,12,41.7%,4,10,40.0%,0,0,-,0,2,2,0,2,0,0,0,0,0,0,7
33080,12,〇,エリック・マッカーサー・ジュニア,PF,16:17,2,1,4,25.0%,0,0,-,0,1,0.0%,2,1,3,1,0,0,0,1,1,0,0,2
36341,14,〇,波多 智也,SF,32:35,17,7,13,53.8%,1,2,50.0%,2,3,66.7%,1,2,3,4,1,1,0,2,3,0,0,17
36420,21,-,野原 暉央,SF,05:19,3,1,1,100.0%,1,1,100.0%,0,0,-,0,0,0,0,0,0,0,0,0,0,0,3
9071,22,〇,ウィル・クリークモア,C,36:48,22,6,16,37.5%,2,8,25.0%,8,9,88.9%,2,12,14,4,4,1,2,1,4,0,0,28
9242,31,-,田中 良拓,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
15836,32,-,吉川 治耀,PG,25:56,9,4,5,80.0%,1,1,100.0%,0,0,-,0,1,1,6,1,2,0,0,3,0,0,16
27098,78,〇,金城 知紗,PG,14:04,3,1,4,25.0%,1,2,50.0%,0,0,-,1,1,2,2,2,0,0,0,2,0,0,2
36342,87,-,ブランダン・ストリップリン,C,06:40,0,0,2,0.0%,0,0,-,0,0,-,1,0,1,0,0,0,0,0,1,0,0,-1
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,2,3,0,2,0,0,0,1,0,0,1
,,,合計,,200:00,87,31,66,47.0%,14,30,46.7%,11,14,78.6%,9,24,33,18,13,4,2,5,19,0,0,93
