id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
25263,0,-,クリストファー・ウォッシュバーン・ジュニア,PF,26:31,8,2,10,20.0%,1,6,16.7%,3,4,75.0%,0,8,8,5,3,2,0,0,2,0,0,11
9074,1,〇,樋口 真斗,SG,24:44,7,2,5,40.0%,0,0,-,3,3,100.0%,0,3,3,3,4,1,0,0,3,0,0,7
8495,3,-,前村 雄大,PG,21:19,3,1,4,25.0%,0,1,0.0%,1,2,50.0%,0,1,1,5,1,0,0,0,2,0,0,4
9398,4,〇,ジェフリー・パーマー,PF,34:17,24,9,16,56.3%,2,6,33.3%,4,5,80.0%,2,4,6,0,4,1,1,0,3,0,0,20
8566,9,-,川満 寿史,SF,12:52,6,1,3,33.3%,0,1,0.0%,4,4,100.0%,0,2,2,0,0,2,0,0,0,0,0,8
26904,11,〇,酒井 達也,PG,18:23,10,3,10,30.0%,3,5,60.0%,1,2,50.0%,0,0,0,1,0,0,0,0,3,0,0,3
9432,14,〇,チュクゥディエベレ・マドゥアバム,C,19:12,8,4,6,66.7%,0,0,-,0,0,-,0,6,6,0,0,0,1,0,1,0,0,13
25273,16,〇,小堺 翼,SF,25:37,12,3,5,60.0%,3,4,75.0%,3,3,100.0%,0,2,2,1,0,0,0,0,4,0,0,13
25275,22,-,向井 祐介,SG,17:05,3,1,2,50.0%,1,2,50.0%,0,0,-,0,1,1,2,3,2,0,0,2,0,0,4
30466,23,-,佐藤 誠人,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
25276,24,-,長谷川 聖,PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
36424,31,-,佐々木 悠斗,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,0,1,0,0,0,0,0,0,0,0,1
,,,合計,,200:00,81,26,61,42.6%,10,25,40.0%,19,23,82.6%,3,27,30,17,15,8,2,0,20,0,0,84
