id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9208,0,〇,上田 雅也,SG,18:01,6,2,5,40.0%,2,3,66.7%,0,0,-,0,3,3,3,1,2,0,1,1,0,0,10
12619,2,-,山口 健大,SF,23:25,13,6,10,60.0%,0,0,-,1,4,25.0%,1,3,4,3,1,5,0,1,1,0,0,17
26933,5,〇,アッサン・ジョップ,C,24:20,13,5,13,38.5%,0,4,0.0%,3,4,75.0%,1,5,6,3,1,4,0,0,2,0,0,16
9243,6,-,佐野 隆司,SF,20:48,0,0,5,0.0%,0,2,0.0%,0,0,-,0,1,1,1,0,0,0,0,2,0,0,-3
25138,11,-,山梨 歩,PG,10:14,3,1,1,100.0%,1,1,100.0%,0,0,-,0,3,3,0,1,0,0,0,2,0,0,5
9254,14,〇,地久里 謙成,SF,17:46,4,2,5,40.0%,0,2,0.0%,0,0,-,0,0,0,2,1,1,0,0,3,0,0,3
10885,15,-,青木 ブレイク,PF,13:41,6,2,3,66.7%,0,0,-,2,2,100.0%,1,5,6,1,1,0,0,0,2,0,0,11
10260,18,-,ニヨキゼラ・イーヴェ,C,17:58,4,2,7,28.6%,0,0,-,0,0,-,3,3,6,1,0,1,0,0,2,0,0,7
9434,24,〇,ジョセフ・ウォルフィンガー,C,22:02,12,6,9,66.7%,0,1,0.0%,0,2,0.0%,2,3,5,2,0,0,1,0,0,0,0,15
8758,54,-,澤地 サミュエル ジュニア,PF,01:59,0,0,1,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-1
9262,77,〇,大金 広弥,PG,18:45,13,4,8,50.0%,2,5,40.0%,3,4,75.0%,1,1,2,1,1,1,0,0,2,0,0,11
10854,99,-,大城 侑朔,PG,11:01,6,2,6,33.3%,1,2,50.0%,1,1,100.0%,0,0,0,1,1,1,0,0,0,0,0,3
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,1,2,0,1,0,0,0,0,0,0,1
,,,合計,,200:00,80,32,73,43.8%,6,20,30.0%,10,17,58.8%,10,28,38,18,9,15,1,2,17,0,0,95
