id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
30513,3,-,大浦 颯太,PG,15:05,5,2,2,100.0%,1,1,100.0%,0,0,-,0,0,0,4,1,1,0,0,0,0,9
8468,5,〇,田口 成浩,SG,16:41,12,5,5,100.0%,2,2,100.0%,0,0,-,1,2,3,1,0,2,0,0,3,2,17
5100000007,7,〇,ジョーダン・グリン,SF/PF,24:09,18,7,13,53.8%,2,6,33.3%,2,2,100.0%,0,4,4,2,4,2,0,0,1,2,17
33045,9,〇,アレックス・デイビス,PF,28:02,16,8,14,57.1%,0,0,-,0,0,-,2,3,5,1,0,4,0,0,2,1,19
8727,12,-,川嶋 勇人,SG,12:30,3,1,2,50.0%,1,1,100.0%,0,0,-,0,3,3,3,0,2,0,0,0,0,10
8446,16,-,伊藤 駿,PG,11:49,0,0,3,0.0%,0,1,0.0%,0,0,-,0,2,2,4,1,1,0,0,1,1,3
10848,17,-,中山 拓哉,PG/SG,16:05,6,2,3,66.7%,0,1,0.0%,2,2,100.0%,3,2,5,1,2,1,0,0,0,1,11
15829,21,〇,長谷川 暢,PG,17:23,5,2,6,33.3%,1,2,50.0%,0,0,-,1,1,2,5,0,2,0,1,2,2,9
30457,22,-,多田 武史,SG,16:38,2,1,5,20.0%,0,3,0.0%,0,0,-,1,0,1,1,0,0,0,0,0,0,0
10878,24,〇,保岡 龍斗,SG/SF,11:05,4,2,4,50.0%,0,2,0.0%,0,0,-,1,0,1,2,0,0,0,0,2,0,3
5100000047,45,-,コルトン・アイバーソン,C,17:00,9,4,7,57.1%,0,0,-,1,3,33.3%,1,5,6,1,2,1,1,0,2,3,12
8500,51,-,古川 孝敏,SG/SF,13:33,3,1,5,20.0%,1,4,25.0%,0,0,-,0,0,0,1,2,0,0,1,1,2,-2
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,2,2,4,0,0,0,0,0,0,0,0
,,,合計,,200:00,83,35,69,50.7%,8,23,34.8%,5,7,71.4%,12,24,36,26,12,16,1,2,14,14,112
