id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
32980,0,-,サーディ・ラベナ,SG,23:54,5,2,11,18.2%,0,5,0.0%,1,1,100.0%,0,2,2,2,1,2,0,0,3,1,-1
26825,4,〇,ロバート・カーター,29:47,15,6,10,60.0%,3,6,50.0%,0,0,-,3,7,10,4,4,1,1,1,3,1,20,
8565,8,-,太田 敦也,C,00:53,0,0,2,0.0%,0,0,-,0,0,-,1,0,1,0,0,0,0,0,0,0,-1
10820,9,-,杉浦 佑成,SF,16:45,0,0,9,0.0%,0,7,0.0%,0,0,-,0,1,1,0,0,0,0,1,2,1,-10
30434,14,〇,松脇 圭志,SG,14:17,3,1,3,33.3%,1,3,33.3%,0,0,-,1,1,2,0,0,0,0,0,0,1,4
5100000068,20,〇,エリアス・ハリス,PF,31:18,20,8,13,61.5%,1,3,33.3%,3,3,100.0%,1,4,5,2,1,1,0,0,1,3,24
12454,21,-,田渡 凌,PG,09:39,3,1,4,25.0%,0,1,0.0%,1,2,50.0%,0,0,0,1,0,1,0,0,2,1,0
51000100,22,-,マックス・ヒサタケ,PF,18:55,6,3,7,42.9%,0,1,0.0%,0,0,-,4,2,6,2,2,1,1,1,1,1,9
15834,23,-,半澤 凌太,PG/SG,11:11,0,0,4,0.0%,0,2,0.0%,0,0,-,1,0,1,0,0,1,0,0,1,0,-3
8654,26,-,津山 尚大,PG/SG,13:17,12,4,8,50.0%,4,6,66.7%,0,0,-,0,1,1,3,0,0,0,0,1,1,12
5100000011,28,〇,津屋 一球,SG,16:00,5,2,4,50.0%,1,2,50.0%,0,0,-,3,0,3,0,1,2,0,0,1,1,7
8658,32,〇,山内 盛久,PG,14:04,2,1,5,20.0%,0,1,0.0%,0,0,-,0,0,0,4,1,0,0,1,3,4,1
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,3,1,4,0,0,0,0,0,0,0,0
,,,合計,,200:00,71,28,80,35.0%,10,37,27.0%,5,6,83.3%,17,19,36,18,10,9,2,4,18,15,66
