id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
30400,0,〇,寺嶋 良,PG,27:55,3,0,7,0.0%,0,1,0.0%,3,4,75.0%,0,2,2,5,2,1,0,3,2,4,0
8608,1,〇,トーマス・ケネディ,SF/PF,31:52,14,6,13,46.2%,0,3,0.0%,2,2,100.0%,0,2,2,1,1,1,0,0,3,2,9
8534,2,-,朝山 正悟,SG/SF,05:55,0,0,0,-,0,0,-,0,0,-,0,1,1,0,2,0,0,0,0,0,-1
8487,3,〇,辻 直人,SG,26:19,5,1,7,14.3%,0,5,0.0%,3,3,100.0%,0,0,0,1,3,0,0,0,1,1,-3
15817,4,-,青木 保憲,PG,10:11,2,0,1,0.0%,0,0,-,2,2,100.0%,0,1,1,2,2,0,0,0,1,1,2
8737,7,-,船生 誠也,SF,13:41,3,1,3,33.3%,1,2,50.0%,0,0,-,0,0,0,0,0,0,0,0,2,2,1
18432,8,-,グレゴリー・エチェニケ,C/PF,19:12,2,1,3,33.3%,0,0,-,0,1,0.0%,0,3,3,3,0,2,0,0,1,3,9
26922,10,〇,チャールズ・ジャクソン,C,24:04,7,3,6,50.0%,0,0,-,1,4,25.0%,3,7,10,2,1,1,1,0,0,5,19
5100000029,14,-,柳川 幹也,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
5100000014,23,-,佐土原 遼,SF,07:06,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1,0,-1
26890,24,〇,ニック・メイヨ,C/PF,33:45,20,8,14,57.1%,0,3,0.0%,4,4,100.0%,0,4,4,0,2,1,1,2,1,3,18
51000110,28,-,井手 拓実,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,3,2,5,0,0,0,0,0,0,0,0
,,,合計,,200:00,56,20,54,37.0%,1,14,7.1%,15,20,75.0%,6,22,28,14,13,6,2,5,12,21,58
