id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
9456,2,-,小寺 ハミルトンゲイリー,C,09:03,4,2,4,50.0%,0,0,-,0,0,-,4,3,7,1,0,0,0,0,2,0,8
9489,3,〇,並里 成,PG,23:17,9,4,9,44.4%,1,3,33.3%,0,1,0.0%,0,1,1,7,2,1,0,0,0,1,11
22497,4,〇,コー・フリッピン,PG/SG,26:25,12,5,7,71.4%,2,3,66.7%,0,2,0.0%,0,2,2,6,2,2,0,0,3,1,14
22399,7,-,アレン・ダーラム,C/PF,21:01,9,4,9,44.4%,0,0,-,1,3,33.3%,1,2,3,6,3,1,0,0,3,2,7
51000138,11,-,松本 礼太,SG/SF,06:47,5,2,4,50.0%,1,2,50.0%,0,0,-,0,1,1,1,0,0,0,0,1,0,4
33097,13,〇,ドウェイン・エバンス,SF/PF,22:04,10,4,6,66.7%,2,2,100.0%,0,0,-,1,2,3,1,2,2,0,1,2,1,10
8655,14,-,岸本 隆一,PG/SG,18:30,10,3,6,50.0%,2,5,40.0%,2,3,66.7%,0,2,2,1,1,0,0,0,0,4,12
14302,30,〇,今村 佳太,SG/SF,26:03,12,5,11,45.5%,2,6,33.3%,0,0,-,1,2,3,3,3,0,0,1,3,0,5
8662,32,-,満原 優樹,C/PF,01:13,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
8756,34,-,小野寺 祥太,PG/SG,17:14,5,2,3,66.7%,1,2,50.0%,0,0,-,0,0,0,2,1,0,0,0,2,0,3
26914,45,〇,ジャック・クーリー,C,28:24,18,6,8,75.0%,0,0,-,6,7,85.7%,2,10,12,1,0,3,0,0,4,7,34
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,2,2,4,0,0,0,0,0,0,0,0
,,,合計,,200:00,94,37,67,55.2%,11,23,47.8%,9,16,56.3%,11,27,38,29,14,9,0,2,20,16,112
