id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
18440,1,〇,ジョシュ・ダンカン,PF,16:36,3,1,3,33.3%,1,1,100.0%,0,2,0.0%,3,5,8,1,2,0,0,0,4,3,5
9055,2,〇,富樫 勇樹,PG,23:45,23,9,20,45.0%,5,10,50.0%,0,0,-,0,0,0,6,0,0,0,1,1,0,16
30465,6,-,赤穂 雷太,SG/SF,11:10,0,0,0,-,0,0,-,0,0,-,0,2,2,0,2,0,1,0,1,0,0
8580,11,-,西村 文男,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
30351,13,-,大倉 颯太,PG/SG,20:08,5,1,3,33.3%,0,1,0.0%,3,5,60.0%,2,3,5,2,1,0,0,0,1,4,10
15811,14,〇,佐藤 卓磨,SG/SF,21:21,10,4,5,80.0%,2,3,66.7%,0,0,-,2,4,6,4,0,0,0,0,1,0,18
8736,15,-,藤永 佳昭,PG,14:21,2,1,2,50.0%,0,0,-,0,0,-,0,0,0,5,1,0,0,0,3,1,3
8593,21,-,ギャビン・エドワーズ,PF,20:23,4,1,1,100.0%,0,0,-,2,2,100.0%,1,2,3,0,2,0,0,0,3,1,3
30521,24,-,ラシード ファラーズ,SF/PF,08:04,2,1,1,100.0%,0,0,-,0,0,-,0,1,1,2,0,0,0,0,2,1,4
8584,31,〇,原 修太,SG/SF,18:00,11,2,5,40.0%,1,3,33.3%,6,8,75.0%,0,1,1,1,1,0,0,0,3,6,10
5100000054,33,〇,ジョン・ムーニー,C/PF,25:32,8,3,6,50.0%,0,0,-,2,2,100.0%,0,8,8,0,0,1,0,0,3,1,12
5100000055,34,-,クリストファー・スミス,SG/SF,20:40,29,10,14,71.4%,5,8,62.5%,4,6,66.7%,1,3,4,2,1,0,1,0,2,5,32
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,2,3,0,1,0,0,0,0,0,0
,,,合計,,200:00,97,33,60,55.0%,14,26,53.8%,17,25,68.0%,10,31,41,23,11,1,2,1,24,22,115
