id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
32984,3,〇,エリエット・ドンリー,SF,31:02,11,4,6,66.7%,0,0,-,3,4,75.0%,1,3,4,2,1,3,0,1,3,3,15
30463,8,-,ジャワラ ジョゼフ,PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
18396,10,〇,デイビッド・ドブラス,C,31:41,15,7,15,46.7%,0,1,0.0%,1,2,50.0%,3,8,11,8,3,1,0,0,2,2,23
5100000063,11,-,ザック・モーア,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
30349,13,〇,中村 浩陸,PG/SG,31:12,9,4,8,50.0%,1,3,33.3%,0,0,-,1,2,3,1,5,1,0,0,2,2,5
9033,15,-,竹内 譲次,C/PF,11:23,4,1,5,20.0%,0,2,0.0%,2,3,66.7%,0,5,5,2,0,0,2,0,0,2,10
8690,20,〇,合田 怜,PG/SG,23:45,6,3,4,75.0%,0,0,-,0,0,-,0,0,0,1,1,0,0,0,3,0,2
33029,24,-,カイル・ハント,C/PF,13:01,8,3,4,75.0%,0,0,-,2,2,100.0%,1,2,3,1,3,0,0,0,3,4,9
20034,31,-,木下 誠,PG,30:21,20,8,17,47.1%,4,7,57.1%,0,0,-,0,1,1,7,3,0,1,2,2,3,16
8452,33,〇,アイラ・ブラウン,SF/PF,27:36,5,2,7,28.6%,1,2,50.0%,0,0,-,0,8,8,6,0,2,0,0,2,1,15
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,0,2,2,0,0,0,0,0,0,0,0
,,,合計,,200:00,78,32,66,48.5%,6,15,40.0%,8,11,72.7%,6,31,37,28,16,7,3,3,17,17,97
