id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
8456,1,-,小島 元基,PG,19:01,6,2,4,50.0%,1,3,33.3%,1,1,100.0%,0,2,2,3,0,0,0,0,3,1,7
32994,2,〇,ジョーダン・テイラー,PG,20:59,13,2,7,28.6%,1,2,50.0%,8,11,72.7%,0,2,2,6,2,0,0,0,2,7,16
20021,8,-,吉井 裕鷹,SF,12:46,0,0,0,-,0,0,-,0,0,-,1,0,1,0,0,0,0,0,1,2,2
10815,9,〇,安藤 周人,SG,20:53,6,2,4,50.0%,2,3,66.7%,0,0,-,0,1,1,4,1,1,0,0,0,0,9
9031,10,-,ザック・バランスキー,SF/PF,23:09,7,3,10,30.0%,1,4,25.0%,0,0,-,0,5,5,1,0,1,0,1,2,0,4
26921,11,〇,セバスチャン・サイズ,C/PF,26:55,16,7,13,53.8%,0,1,0.0%,2,2,100.0%,3,11,14,1,3,2,1,0,3,1,23
9032,13,-,菊地 祥平,SF,02:41,1,0,0,-,0,0,-,1,2,50.0%,0,1,1,0,0,0,0,0,1,1,1
15838,21,-,平岩 玄,C,03:41,2,1,1,100.0%,0,0,-,0,0,-,0,0,0,0,0,0,0,0,2,0,0
8649,22,〇,ライアン・ロシター,C/PF,12:11,7,3,5,60.0%,1,1,100.0%,0,0,-,1,4,5,3,0,0,0,0,1,1,13
9037,24,〇,田中 大貴,SG,08:06,2,1,1,100.0%,0,0,-,0,0,-,0,1,1,2,0,0,0,0,0,0,5
12582,53,-,アレックス・カーク,C,24:27,12,5,9,55.6%,1,1,100.0%,1,1,100.0%,2,5,7,2,0,0,0,0,0,2,19
30348,75,-,小酒部 泰暉,SG,25:11,10,3,9,33.3%,1,4,25.0%,3,5,60.0%,1,0,1,2,2,0,0,0,0,3,6
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,0,3,3,0,0,0,0,0,0,0,0
,,,合計,,200:00,82,29,63,46.0%,8,19,42.1%,16,22,72.7%,8,35,43,24,8,4,1,1,15,18,108
