id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
8482,0,〇,藤井 祐眞,PG/SG,30:53,17,7,13,53.8%,3,7,42.9%,0,1,0.0%,3,3,6,7,2,3,0,0,3,4,25
8484,7,-,篠山 竜青,PG,12:28,2,1,5,20.0%,0,1,0.0%,0,0,-,0,0,0,2,2,1,0,0,4,0,-5
20018,11,-,増田 啓介,SF,11:32,6,2,4,50.0%,0,2,0.0%,2,2,100.0%,0,1,1,0,0,0,0,0,0,2,7
20024,13,-,前田 悟,SG,07:11,3,1,2,50.0%,1,2,50.0%,0,0,-,0,0,0,0,0,0,0,0,4,0,-2
8489,18,-,鎌田 裕也,PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
20000,20,-,綱井 勇介,PG,01:15,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
8490,22,〇,ニック・ファジーカス,C,27:33,12,5,12,41.7%,0,3,0.0%,2,3,66.7%,0,7,7,9,2,1,0,0,0,3,22
5100000059,23,-,マット・ジャニング,SG,23:19,26,8,12,66.7%,5,8,62.5%,5,7,71.4%,1,3,4,1,1,0,0,0,2,5,27
8498,27,-,熊谷 尚也,SF,07:51,0,0,2,0.0%,0,1,0.0%,0,0,-,0,1,1,1,1,0,1,0,2,0,-2
8492,33,〇,長谷川 技,SF,21:17,3,1,2,50.0%,1,2,50.0%,0,0,-,1,0,1,1,1,1,0,0,0,0,4
32952,34,〇,パブロ・アギラール,PF,23:52,6,2,9,22.2%,0,2,0.0%,2,2,100.0%,7,6,13,4,0,3,1,1,0,3,22
26874,35,〇,ジョーダン・ヒース,C/PF,32:49,14,7,12,58.3%,0,3,0.0%,0,0,-,6,1,7,0,1,0,3,0,0,2,20
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,2,1,3,0,1,0,0,0,0,0,0
,,,合計,,200:00,89,34,73,46.6%,10,31,32.3%,11,15,73.3%,20,23,43,25,11,9,5,1,15,19,120
