id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
8650,0,-,田臥 勇太,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
8589,6,〇,比江島 慎,SG,22:06,5,1,10,10.0%,0,4,0.0%,3,3,100.0%,1,1,2,5,3,1,0,1,1,3,2
30438,7,-,テーブス 海,PG,21:21,9,3,4,75.0%,1,1,100.0%,2,2,100.0%,0,4,4,3,3,0,0,1,3,1,9
8497,9,〇,遠藤 祐亮,PG/SG,24:59,4,1,8,12.5%,0,5,0.0%,2,2,100.0%,0,1,1,5,0,2,0,0,4,1,2
8726,10,-,竹内 公輔,C/PF,16:40,5,1,4,25.0%,0,0,-,3,3,100.0%,4,2,6,0,0,0,0,0,3,3,8
5100000012,11,-,荒谷 裕秀,SF,10:55,3,1,3,33.3%,1,2,50.0%,0,0,-,0,2,2,1,0,2,0,1,2,0,3
8499,13,-,渡邉 裕規,PG,04:33,0,0,0,-,0,0,-,0,0,-,0,0,0,0,1,0,0,0,1,0,-2
8529,18,〇,鵤 誠司,PG,25:34,9,3,5,60.0%,2,3,66.7%,1,2,50.0%,0,1,1,3,3,1,0,0,2,3,9
8657,31,-,喜多川 修平,SF,09:15,2,1,2,50.0%,0,0,-,0,0,-,1,1,2,2,0,2,0,0,2,0,5
12631,40,〇,ジョシュ・スコット,C/PF,33:34,10,4,8,50.0%,0,0,-,2,2,100.0%,0,10,10,1,1,1,2,1,2,3,19
5100000081,42,〇,アイザック・フォトゥ,PF,31:02,21,8,14,57.1%,0,0,-,5,6,83.3%,2,8,10,0,2,0,0,1,4,6,23
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,4,1,5,0,3,0,0,0,0,0,0
,,,合計,,200:00,68,23,58,39.7%,4,15,26.7%,18,20,90.0%,12,31,43,20,16,9,2,5,24,20,80
