id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
8579,3,〇,マイケル・パーカー,PF,31:58,10,4,7,57.1%,1,3,33.3%,1,2,50.0%,1,7,8,2,2,2,1,0,3,1,14
18441,4,〇,トレイ・ジョーンズ,SF,30:06,15,5,14,35.7%,1,4,25.0%,4,6,66.7%,1,5,6,9,2,2,1,0,2,9,27
8645,7,〇,五十嵐 圭,PG,13:14,3,1,4,25.0%,1,4,25.0%,0,0,-,0,0,0,0,0,0,1,0,2,0,-1
5100000016,8,-,八村 阿蓮,PF,03:20,6,2,3,66.7%,2,2,100.0%,0,0,-,1,1,2,0,0,0,0,0,2,0,5
30512,10,-,杉本 天昇,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
8486,11,-,野本 建吾,SF/PF,13:45,6,2,4,50.0%,0,2,0.0%,2,2,100.0%,1,0,1,1,0,0,1,0,0,1,8
18167,13,-,笠井 康平,PG,20:20,0,0,1,0.0%,0,0,-,0,0,-,2,1,3,3,0,0,0,1,4,0,0
32953,14,-,菅原 暉,PG,06:20,3,1,2,50.0%,1,2,50.0%,0,0,-,0,0,0,0,0,0,0,0,4,0,-2
8448,15,〇,アキ・チェンバース,SF,30:04,9,4,10,40.0%,1,4,25.0%,0,0,-,0,3,3,1,1,0,1,0,1,0,6
8581,22,-,上江田 勇樹,SG/SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
8504,30,-,山崎 稜,SG,17:52,11,4,7,57.1%,1,3,33.3%,2,2,100.0%,0,0,0,1,1,1,0,0,3,1,7
18172,40,〇,ジャスティン・キーナン,C/PF,33:01,13,5,14,35.7%,3,10,30.0%,0,0,-,1,4,5,5,2,1,0,0,5,1,9
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,0,2,2,0,1,0,0,0,1,0,0
,,,合計,,200:00,76,28,66,42.4%,11,34,32.4%,9,12,75.0%,7,23,30,22,9,6,5,1,27,13,74
