id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
33036,5,-,ヤン ジェミン,SF,09:28,3,1,2,50.0%,1,1,100.0%,0,0,-,0,1,1,0,0,1,0,0,1,0,3
9267,7,-,井上 裕介,PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
8547,8,-,西山 達哉,PG,11:25,6,2,5,40.0%,2,5,40.0%,0,0,-,0,0,0,0,1,0,0,0,3,0,-1
19957,11,〇,熊谷 航,PG,21:25,7,3,6,50.0%,1,2,50.0%,0,0,-,1,2,3,2,3,1,0,0,3,1,5
51000104,13,-,マシュー・アキノ,PF,03:44,0,0,0,-,0,0,-,0,0,-,0,2,2,0,0,0,0,0,0,0,2
30402,15,〇,前田 怜緒,SG/SF,28:15,7,3,7,42.9%,1,3,33.3%,0,0,-,2,2,4,1,1,2,0,0,4,0,5
18429,19,-,大崎 裕太,PG/SG,16:47,6,2,4,50.0%,2,2,100.0%,0,0,-,0,1,1,7,2,2,0,0,1,1,12
12598,24,-,ジョシュ・ホーキンソン,C/PF,30:56,19,7,11,63.6%,1,2,50.0%,4,6,66.7%,0,3,3,3,7,0,2,0,1,6,19
10842,31,-,三ツ井 利也,SF,07:57,0,0,0,-,0,0,-,0,0,-,1,1,2,0,0,0,0,0,2,1,1
8843,50,〇,ウェイン・マーシャル,C,23:47,10,4,7,57.1%,1,2,50.0%,1,1,100.0%,2,3,5,4,1,0,3,0,5,3,16
8651,55,〇,アンソニー・マクヘンリー,C/PF,20:17,13,5,6,83.3%,1,1,100.0%,2,2,100.0%,0,5,5,3,2,0,0,0,4,3,17
18475,77,〇,岡田 侑大,PG/SG,26:01,16,6,12,50.0%,3,4,75.0%,1,1,100.0%,0,3,3,5,3,0,0,0,3,2,14
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,2,1,3,0,0,0,0,0,0,0,0
,,,合計,,200:00,87,33,60,55.0%,13,22,59.1%,8,10,80.0%,8,24,32,25,20,6,5,0,27,17,96
