id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
10824,1,-,會田 圭佑,PG,19:24,12,4,4,100.0%,2,2,100.0%,2,2,100.0%,0,1,1,3,1,0,0,0,4,3,14
51000117,5,-,小西 聖也,PG/SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
9382,7,〇,ジェロウム・ティルマン,PF,42:48,19,4,12,33.3%,0,3,0.0%,11,12,91.7%,0,2,2,0,2,2,0,0,2,10,20
30469,11,-,久保田 義章,PG,28:24,7,2,7,28.6%,1,4,25.0%,2,2,100.0%,1,3,4,8,3,0,0,0,2,2,11
22394,15,-,内田 旦人,SG/SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
10844,21,〇,満田 丈太郎,SG/SF,17:16,2,1,6,16.7%,0,3,0.0%,0,0,-,0,2,2,3,2,0,0,0,1,1,0
8568,25,〇,鈴木 達也,PG,21:00,2,1,5,20.0%,0,0,-,0,0,-,0,2,2,4,1,0,0,1,2,0,0
30519,29,〇,細川 一輝,SG,21:54,9,3,6,50.0%,3,6,50.0%,0,0,-,0,1,1,1,0,0,0,0,1,0,7
8595,31,-,加藤 寿一,SF,27:02,4,0,2,0.0%,0,2,0.0%,4,4,100.0%,2,2,4,2,2,2,0,0,2,2,8
33032,32,〇,ジャスティン・ハーパー,PF,43:07,26,11,18,61.1%,4,7,57.1%,0,1,0.0%,4,12,16,3,3,0,2,0,3,2,35
8459,33,-,内海 慎吾,SG,04:05,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1,0,-1
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,3,3,6,0,1,0,0,0,0,0,0
,,,合計,,225:00,81,26,60,43.3%,10,27,37.0%,19,21,90.5%,10,28,38,24,15,4,2,1,18,20,99
