id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
33035,1,〇,パトリック・アウダ,PF,30:20,16,7,12,58.3%,0,1,0.0%,2,3,66.7%,0,7,7,4,0,0,0,0,0,3,24
5100000060,2,〇,レイトン・ハモンズ,SG/SF,23:19,9,4,11,36.4%,1,4,25.0%,0,0,-,1,2,3,2,0,1,1,2,4,1,4
30460,5,-,河村 勇輝,PG,19:55,11,4,7,57.1%,2,3,66.7%,1,3,33.3%,0,5,5,6,0,0,0,0,2,3,18
26915,7,-,レジナルド・ベクトン,PF,16:47,4,2,3,66.7%,0,0,-,0,0,-,0,4,4,1,0,1,1,0,3,1,8
12500,8,-,古牧 昌也,SG,04:16,0,0,1,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,-1
9405,9,〇,森川 正明,SF,15:39,20,8,10,80.0%,2,2,100.0%,2,3,66.7%,0,3,3,2,2,2,0,0,1,2,23
30401,14,-,大庭 岳輝,SG,12:29,3,1,3,33.3%,1,3,33.3%,0,0,-,0,3,3,1,0,0,0,0,0,0,5
10851,18,〇,森井 健太,PG,20:05,0,0,0,-,0,0,-,0,0,-,0,2,2,8,0,0,0,0,2,1,9
5100000024,23,-,キング 開,PG/SG,14:37,12,5,7,71.4%,1,2,50.0%,1,3,33.3%,0,1,1,2,0,1,0,0,0,2,14
32956,30,〇,須藤 昂矢,SG,17:50,11,4,7,57.1%,2,5,40.0%,1,2,50.0%,0,1,1,1,1,0,0,0,1,1,8
9259,32,-,エドワード・モリス,PF,09:34,0,0,0,-,0,0,-,0,0,-,1,5,6,1,0,0,0,0,1,0,6
10822,46,-,生原 秀将,PG,15:09,0,0,1,0.0%,0,1,0.0%,0,0,-,0,1,1,1,1,0,0,0,1,1,0
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,0,1,1,0,1,0,0,0,0,0,0
,,,合計,,200:00,86,35,62,56.5%,9,21,42.9%,7,14,50.0%,2,35,37,29,5,5,2,2,15,15,118
