id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
5100000064,1,-,青木 龍史,PG/SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
32984,3,〇,エリエット・ドンリー,SF,25:04,8,3,7,42.9%,2,5,40.0%,0,0,-,1,2,3,2,1,1,1,0,0,1,11
30463,8,-,ジャワラ ジョゼフ,PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
18396,10,〇,デイビッド・ドブラス,C,23:59,8,3,4,75.0%,0,0,-,2,2,100.0%,1,7,8,2,3,0,0,0,5,2,11
5100000036,12,-,高島 紳司,24:00,6,2,7,28.6%,0,4,0.0%,2,2,100.0%,0,0,0,1,1,2,0,1,2,2,2,
30349,13,-,中村 浩陸,PG/SG,05:27,0,0,1,0.0%,0,1,0.0%,0,0,-,0,0,0,1,0,0,0,0,2,0,-2
9033,15,-,竹内 譲次,C/PF,20:22,5,1,3,33.3%,0,0,-,3,4,75.0%,1,6,7,2,0,0,1,0,4,2,10
8690,20,〇,合田 怜,PG/SG,13:26,0,0,5,0.0%,0,3,0.0%,0,0,-,0,0,0,2,0,0,0,0,1,0,-4
51000113,22,-,飯尾 文哉,03:27,0,0,3,0.0%,0,2,0.0%,0,0,-,0,0,0,0,0,0,0,0,0,0,-3,
33085,25,〇,ディージェイ・ニュービル,PG/SG,34:33,31,7,16,43.8%,5,10,50.0%,12,13,92.3%,2,4,6,5,3,3,0,1,4,8,35
20034,31,-,木下 誠,PG,14:03,5,1,6,16.7%,1,2,50.0%,2,2,100.0%,0,1,1,0,0,0,0,0,0,2,3
8452,33,〇,アイラ・ブラウン,SF/PF,35:39,13,4,10,40.0%,0,1,0.0%,5,8,62.5%,5,7,12,5,0,3,0,0,4,7,27
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,0,2,2,0,0,0,0,0,0,0,0
,,,合計,,200:00,76,21,62,33.9%,8,28,28.6%,26,31,83.9%,10,29,39,20,8,9,2,2,22,24,92
