id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
5100000041,1,-,王 偉嘉,PF,20:43,5,2,4,50.0%,0,1,0.0%,1,2,50.0%,2,6,8,2,0,0,0,0,2,3,13
30513,3,-,大浦 颯太,PG,13:58,3,1,2,50.0%,1,2,50.0%,0,0,-,0,0,0,3,2,0,0,0,1,1,3
8468,5,-,田口 成浩,SG,10:45,11,4,4,100.0%,3,3,100.0%,0,0,-,1,1,2,0,2,1,0,0,2,0,10
5100000007,7,〇,ジョーダン・グリン,SF/PF,20:34,9,3,8,37.5%,2,5,40.0%,1,2,50.0%,1,4,5,3,0,1,0,2,2,2,10
33045,9,-,アレックス・デイビス,PF,13:49,2,1,1,100.0%,0,0,-,0,0,-,1,4,5,2,2,2,0,0,5,0,4
8727,12,-,川嶋 勇人,SG,11:14,8,3,5,60.0%,2,4,50.0%,0,0,-,0,0,0,3,2,0,0,0,2,0,5
10848,17,〇,中山 拓哉,PG/SG,19:44,3,1,4,25.0%,1,1,100.0%,0,0,-,0,3,3,5,2,4,1,0,1,4,14
15829,21,〇,長谷川 暢,PG,19:20,4,2,4,50.0%,0,1,0.0%,0,0,-,0,1,1,6,2,0,0,0,2,1,6
30457,22,-,多田 武史,SG,14:40,11,5,8,62.5%,1,3,33.3%,0,0,-,1,1,2,0,2,1,0,0,1,0,8
10878,24,-,保岡 龍斗,SG/SF,17:02,13,4,7,57.1%,2,3,66.7%,3,3,100.0%,0,0,0,3,0,0,0,0,1,3,15
5100000047,45,〇,コルトン・アイバーソン,C,21:37,6,3,5,60.0%,0,0,-,0,0,-,4,6,10,1,2,0,1,0,2,0,12
8500,51,〇,古川 孝敏,SG/SF,16:34,30,10,14,71.4%,9,11,81.8%,1,2,50.0%,0,2,2,1,0,0,0,0,1,3,30
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,0,0,0,0,1,0,0,0,0,0,0
,,,合計,,200:00,105,39,66,59.1%,21,34,61.8%,6,9,66.7%,10,28,38,29,17,9,2,2,22,17,129
