id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
9456,2,-,小寺 ハミルトンゲイリー,C,10:22,0,0,3,0.0%,0,1,0.0%,0,0,-,1,2,3,2,1,0,0,0,3,0,-2
9489,3,〇,並里 成,PG,16:57,2,1,2,50.0%,0,0,-,0,0,-,0,0,0,2,0,0,0,0,0,0,3
22497,4,〇,コー・フリッピン,PG/SG,26:01,3,1,4,25.0%,0,1,0.0%,1,2,50.0%,0,2,2,4,2,3,0,0,2,2,6
22399,7,-,アレン・ダーラム,C/PF,19:27,13,4,7,57.1%,0,1,0.0%,5,6,83.3%,4,3,7,1,4,1,1,0,0,4,19
51000138,11,-,松本 礼太,SG/SF,13:44,0,0,4,0.0%,0,3,0.0%,0,0,-,0,2,2,0,1,0,0,0,0,1,-2
33097,13,〇,ドウェイン・エバンス,SF/PF,18:34,16,8,9,88.9%,0,0,-,0,2,0.0%,1,4,5,2,2,1,1,0,1,3,22
8655,14,-,岸本 隆一,PG/SG,21:12,18,5,7,71.4%,4,6,66.7%,4,4,100.0%,0,2,2,0,0,1,0,0,1,2,20
14302,30,〇,今村 佳太,SG/SF,20:52,8,3,9,33.3%,2,5,40.0%,0,0,-,0,1,1,2,1,0,0,0,0,1,5
8662,32,-,満原 優樹,C/PF,06:39,0,0,1,0.0%,0,0,-,0,2,0.0%,1,2,3,0,0,0,0,0,1,1,0
8756,34,-,小野寺 祥太,PG/SG,21:14,4,2,6,33.3%,0,4,0.0%,0,0,-,0,1,1,1,0,0,0,0,2,1,1
26914,45,〇,ジャック・クーリー,C,24:58,28,13,14,92.9%,0,0,-,2,4,50.0%,8,7,15,1,0,1,2,0,2,4,46
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,0,4,4,0,0,0,0,0,0,0,0
,,,合計,,200:00,92,37,66,56.1%,6,21,28.6%,12,20,60.0%,15,30,45,15,11,7,4,0,12,19,122
