id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
10824,1,〇,會田 圭佑,PG,25:52,5,1,9,11.1%,1,5,20.0%,2,2,100.0%,2,2,4,4,0,0,0,1,2,1,3
9382,7,〇,ジェロウム・ティルマン,PF,34:52,11,4,9,44.4%,1,4,25.0%,2,3,66.7%,0,8,8,2,0,3,0,0,3,4,19
30469,11,-,久保田 義章,PG,14:07,0,0,2,0.0%,0,0,-,0,0,-,0,0,0,3,2,0,0,1,0,1,-1
22394,15,-,内田 旦人,SG/SF,01:35,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
10844,21,-,満田 丈太郎,SG/SF,16:27,17,7,8,87.5%,3,4,75.0%,0,0,-,0,1,1,0,0,1,0,0,1,0,17
8568,25,〇,鈴木 達也,PG,25:53,4,2,6,33.3%,0,1,0.0%,0,0,-,0,1,1,5,5,1,0,0,4,5,3
30519,29,〇,細川 一輝,SG,19:27,9,3,8,37.5%,3,5,60.0%,0,0,-,0,0,0,1,2,0,0,1,0,0,2
8595,31,-,加藤 寿一,SF,16:39,4,2,2,100.0%,0,0,-,0,0,-,1,0,1,0,0,1,0,0,0,0,6
33032,32,〇,ジャスティン・ハーパー,PF,31:32,19,9,16,56.3%,0,3,0.0%,1,2,50.0%,4,2,6,1,0,0,0,1,2,2,17
8459,33,-,内海 慎吾,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
8493,43,-,永吉 佑也,C/PF,13:36,1,0,0,-,0,0,-,1,2,50.0%,0,0,0,1,1,1,0,0,1,3,3
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,2,3,0,2,0,0,0,0,0,0
,,,合計,,200:00,70,28,60,46.7%,8,22,36.4%,6,9,66.7%,8,16,24,17,12,7,0,4,13,16,70
