id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
8585,0,-,小野 龍猛,SF,04:10,0,0,0,-,0,0,-,0,0,-,0,0,0,0,2,0,0,0,0,0,-2
30404,2,-,飴谷 由毅,SG/SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
5100000078,5,-,ブライス・ジョンソン,PF,16:44,8,4,6,66.7%,0,0,-,0,0,-,1,3,4,1,1,0,1,1,5,2,7
8578,7,-,阿部 友和,PG,04:10,3,1,1,100.0%,1,1,100.0%,0,0,-,0,0,0,0,1,0,0,0,0,0,2
8501,9,-,水戸 健史,SG,04:38,0,0,0,-,0,0,-,0,0,-,0,0,0,0,1,0,0,0,0,0,-1
5100000039,10,〇,上澤 俊喜,PG,20:48,3,0,5,0.0%,0,2,0.0%,3,3,100.0%,0,1,1,1,0,0,0,0,1,1,0
8503,11,-,宇都 直輝,PG,15:03,4,2,4,50.0%,0,0,-,0,0,-,0,0,0,5,1,0,0,1,1,2,6
9034,16,〇,松井 啓十郎,SG,29:06,8,3,7,42.9%,2,6,33.3%,0,0,-,0,3,3,1,0,0,0,0,1,1,8
51000102,24,〇,ドワイト・ラモス,SG,32:41,12,5,10,50.0%,1,3,33.3%,1,2,50.0%,1,5,6,0,1,0,1,0,2,1,11
8709,32,〇,ジュリアン・マブンガ,PF,31:06,24,8,18,44.4%,3,9,33.3%,5,6,83.3%,3,6,9,7,3,2,1,2,4,6,29
8483,33,-,晴山 ケビン,SF,09:25,2,1,2,50.0%,0,1,0.0%,0,0,-,0,0,0,0,0,0,0,0,2,0,-1
12633,34,〇,ジョシュア・スミス,C,32:09,16,4,7,57.1%,0,0,-,8,8,100.0%,4,8,12,3,1,2,1,0,4,5,30
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,0,4,4,0,1,0,0,0,0,0,0
,,,合計,,200:00,80,28,60,46.7%,7,22,31.8%,17,19,89.5%,9,30,39,18,12,4,4,4,20,18,92
