id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
8462,0,-,小林 遥太,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
5100000069,1,-,レイ・パークスジュニア,SG,20:56,4,2,4,50.0%,0,1,0.0%,0,0,-,0,5,5,0,1,0,0,0,2,0,4
14301,2,〇,齋藤 拓実,PG,23:15,10,4,10,40.0%,2,4,50.0%,0,0,-,1,1,2,7,1,2,0,0,0,0,14
10849,3,-,伊藤 達哉,PG,16:45,7,3,4,75.0%,0,1,0.0%,1,2,50.0%,1,0,1,3,2,0,0,0,1,1,7
5100000048,4,〇,コティ・クラーク,PF,25:01,20,8,18,44.4%,4,11,36.4%,0,0,-,0,6,6,7,1,0,0,1,1,2,22
8479,6,-,菊池 真人,PF,00:51,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
8738,8,-,張本 天傑,SF/PF,21:16,3,1,4,25.0%,1,2,50.0%,0,0,-,0,1,1,0,1,0,1,1,1,1,0
8494,11,〇,須田 侑太郎,SG/SF,23:59,3,1,8,12.5%,1,6,16.7%,0,0,-,1,2,3,3,1,1,0,0,1,0,1
8516,12,〇,中東 泰斗,SG,19:36,0,0,5,0.0%,0,2,0.0%,0,0,-,0,1,1,0,0,1,1,1,0,0,-3
36414,16,-,ワース・スミス,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,
8463,32,-,狩野 祐介,SG,15:29,8,2,4,50.0%,2,3,66.7%,2,2,100.0%,0,3,3,1,0,0,0,0,0,3,13
5100000046,43,〇,スコット・エサトン,C/PF,32:52,24,11,15,73.3%,0,0,-,2,4,50.0%,6,7,13,3,2,1,0,0,2,4,35
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,2,3,0,0,0,0,0,0,0,0
,,,合計,,200:00,79,32,72,44.4%,10,30,33.3%,5,8,62.5%,10,28,38,24,9,5,2,3,8,11,96
