id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
8579,3,〇,マイケル・パーカー,PF,31:58,19,8,8,100.0%,2,2,100.0%,1,2,50.0%,5,7,12,2,1,0,0,0,3,3,31
18441,4,〇,トレイ・ジョーンズ,SF,31:37,22,7,12,58.3%,0,0,-,8,9,88.9%,0,2,2,11,3,0,1,1,4,5,27
8486,11,-,野本 建吾,SF/PF,09:18,2,1,4,25.0%,0,0,-,0,0,-,1,2,3,0,1,0,0,0,2,0,-1
5100000065,12,-,オンドレイ・バルヴィン,C,05:36,4,1,2,50.0%,0,0,-,2,2,100.0%,0,1,1,0,1,0,0,0,0,1,4
18167,13,〇,笠井 康平,PG,16:28,12,4,6,66.7%,4,5,80.0%,0,0,-,0,2,2,3,0,1,0,0,1,0,15
32953,14,-,菅原 暉,PG,22:55,8,3,7,42.9%,2,4,50.0%,0,0,-,0,0,0,2,2,0,0,0,2,1,3
8448,15,〇,アキ・チェンバース,SF,29:40,7,3,8,37.5%,1,4,25.0%,0,0,-,1,0,1,4,0,0,0,0,0,0,7
8581,22,-,上江田 勇樹,SG/SF,06:20,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,1,1
8504,30,-,山崎 稜,SG,13:00,2,0,3,0.0%,0,2,0.0%,2,2,100.0%,0,2,2,1,1,0,0,1,1,1,0
18172,40,〇,ジャスティン・キーナン,C/PF,33:08,24,7,13,53.8%,2,6,33.3%,8,9,88.9%,2,9,11,5,1,0,0,0,1,5,36
