id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
30513,3,-,大浦 颯太,PG,05:02,4,2,4,50.0%,0,2,0.0%,0,0,-,0,1,1,1,0,0,0,0,0,0,4
8468,5,-,田口 成浩,SG,14:56,5,2,5,40.0%,1,3,33.3%,0,0,-,0,0,0,0,1,0,0,0,3,1,-1
5100000007,7,〇,ジョーダン・グリン,SF/PF,32:29,18,6,12,50.0%,4,7,57.1%,2,2,100.0%,1,3,4,2,5,2,0,0,1,1,15
33045,9,-,アレックス・デイビス,PF,17:27,4,2,5,40.0%,0,1,0.0%,0,0,-,2,1,3,3,1,1,1,0,2,1,7
8727,12,-,川嶋 勇人,SG,12:14,0,0,4,0.0%,0,2,0.0%,0,0,-,0,0,0,1,2,0,0,0,2,0,-7
8446,16,-,伊藤 駿,PG,09:01,2,0,0,-,0,0,-,2,2,100.0%,0,1,1,3,0,0,0,0,0,2,8
10848,17,〇,中山 拓哉,PG/SG,22:46,7,3,6,50.0%,1,3,33.3%,0,1,0.0%,2,1,3,0,2,2,0,0,2,3,7
15829,21,〇,長谷川 暢,PG,19:50,2,1,4,25.0%,0,1,0.0%,0,0,-,2,1,3,4,2,1,0,0,2,0,3
30457,22,-,多田 武史,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
10878,24,-,保岡 龍斗,SG/SF,08:16,2,0,0,-,0,0,-,2,2,100.0%,0,1,1,0,0,0,0,0,0,2,5
5100000047,45,〇,コルトン・アイバーソン,C,30:04,16,5,8,62.5%,0,0,-,6,6,100.0%,3,8,11,4,4,2,0,0,1,7,32
8500,51,〇,古川 孝敏,SG/SF,27:55,12,5,11,45.5%,2,3,66.7%,0,0,-,0,1,1,0,2,0,0,0,4,0,1
