id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
33035,1,-,パトリック・アウダ,PF,20:14,11,5,8,62.5%,0,0,-,1,3,33.3%,0,2,2,4,0,2,0,1,1,3,15
5100000060,2,〇,レイトン・ハモンズ,SG/SF,28:54,16,6,15,40.0%,4,11,36.4%,0,0,-,0,5,5,2,2,2,0,0,3,1,12
30460,5,-,河村 勇輝,PG,20:16,8,3,6,50.0%,1,1,100.0%,1,2,50.0%,0,2,2,3,3,1,0,2,2,3,6
26915,7,〇,レジナルド・ベクトン,PF,28:09,8,3,10,30.0%,0,0,-,2,4,50.0%,6,9,15,2,1,0,2,0,3,3,17
12500,8,-,古牧 昌也,SG,09:40,0,0,1,0.0%,0,0,-,0,0,-,0,0,0,1,1,0,0,0,1,0,-2
9405,9,〇,森川 正明,SF,21:49,7,3,7,42.9%,1,3,33.3%,0,0,-,0,1,1,0,0,0,0,0,0,0,4
51000097,11,-,阿部 龍星,PG/SG,02:43,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
10258,17,-,土屋 アリスター時生,PF,02:43,0,0,1,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,-1
10851,18,〇,森井 健太,PG,19:44,5,1,3,33.3%,1,2,50.0%,2,2,100.0%,0,3,3,5,2,0,0,0,1,2,10
5100000024,23,-,キング 開,PG/SG,14:35,4,2,8,25.0%,0,1,0.0%,0,0,-,1,1,2,1,0,0,0,2,1,0,-2
32956,30,〇,須藤 昂矢,SG,16:50,2,1,3,33.3%,0,1,0.0%,0,0,-,0,0,0,0,0,0,0,0,2,0,-2
10822,46,-,生原 秀将,PG,14:23,0,0,1,0.0%,0,1,0.0%,0,0,-,0,0,0,1,1,1,0,0,2,1,-1
