id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
9264,1,-,後藤 翔平,SG,09:28,6,3,5,60.0%,0,2,0.0%,0,0,-,0,0,0,0,0,0,0,0,3,1,2
33094,2,-,ペリン・ビュフォード,SF,19:11,12,3,12,25.0%,2,4,50.0%,4,6,66.7%,1,5,6,7,2,1,0,0,2,4,15
8467,3,〇,安藤 誓哉,PG,21:04,20,7,7,100.0%,5,5,100.0%,1,1,100.0%,0,1,1,3,0,0,0,0,1,1,24
5100000088,4,〇,ニック・ケイ,C/PF,20:18,11,5,9,55.6%,1,4,25.0%,0,0,-,3,5,8,4,1,2,0,0,0,0,20
9310,5,-,山下 泰弘,PG,09:15,5,2,5,40.0%,1,2,50.0%,0,0,-,0,2,2,4,0,1,0,0,1,0,8
8532,6,-,北川 弘,PG,14:32,0,0,3,0.0%,0,2,0.0%,0,0,-,0,0,0,2,0,0,0,0,3,1,-3
33095,8,〇,リード・トラビス,PF,27:48,14,7,16,43.8%,0,3,0.0%,0,1,0.0%,6,6,12,1,1,2,0,0,2,4,20
15756,13,-,阿部 諒,SG,14:54,0,0,3,0.0%,0,3,0.0%,0,0,-,0,1,1,1,0,1,0,0,2,0,-2
8592,14,〇,金丸 晃輔,SF,19:41,17,6,9,66.7%,5,7,71.4%,0,0,-,0,1,1,2,1,0,0,1,1,0,14
8734,15,〇,白濱 僚祐,SG/SF,17:29,0,0,0,-,0,0,-,0,0,-,0,2,2,3,1,0,0,0,2,0,2
9283,22,-,小阪 彰久,PF,06:19,4,1,2,50.0%,0,1,0.0%,2,2,100.0%,2,3,5,0,1,0,0,0,1,1,7
9345,28,-,ウィリアムス ニカ,C,20:01,17,8,10,80.0%,0,0,-,1,2,50.0%,5,5,10,2,1,1,3,0,4,3,28
