id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
8587,0,-,橋本 竜馬,PG,14:55,6,2,3,66.7%,2,3,66.7%,0,0,-,0,1,1,0,0,0,0,0,4,1,3
20025,1,-,ナナー ダニエル弾,PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
8506,3,-,牧 全,SG/SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
18148,4,〇,寺園 脩斗,PG,25:05,8,4,9,44.4%,0,2,0.0%,0,0,-,0,0,0,8,0,0,0,0,3,0,8
9392,5,-,ダニエル・ミラー,C,07:31,2,1,1,100.0%,0,0,-,0,0,-,0,2,2,1,0,0,1,0,0,1,7
20031,7,-,中野 司,SG/SF,11:17,4,2,3,66.7%,0,1,0.0%,0,0,-,0,2,2,0,0,0,1,0,3,1,4
8509,11,-,桜井 良太,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
30437,17,〇,山口 颯斗,SG/SF,27:39,9,2,5,40.0%,0,1,0.0%,5,5,100.0%,0,2,2,0,1,0,0,0,4,6,9
5100000053,21,〇,ショーン・ロング,C/PF,36:17,44,19,24,79.2%,2,2,100.0%,4,4,100.0%,6,2,8,6,6,1,1,1,2,5,51
26913,24,〇,デモン・ブルックス,PF,36:12,16,7,17,41.2%,2,5,40.0%,0,2,0.0%,2,9,11,2,3,0,2,1,2,2,15
15818,25,-,葛原 大智,SG/SF,16:36,2,1,2,50.0%,0,1,0.0%,0,0,-,0,2,2,1,1,0,0,0,3,0,0
51000123,66,〇,松下 裕汰,PG,24:28,3,1,3,33.3%,1,3,33.3%,0,0,-,0,1,1,2,2,0,0,0,5,1,-2
