id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
5100000061,1,-,オヴィ・ソコ,28:24,26,9,15,60.0%,0,0,-,8,9,88.9%,3,11,14,1,2,0,0,0,3,9,38,
10832,3,-,澁田 怜音,PG,10:42,0,0,1,0.0%,0,1,0.0%,0,0,-,0,0,0,1,0,0,0,0,4,1,-3
10871,9,-,小澤 智将,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
22496,11,〇,今川 友哲,SF/PF,12:33,0,0,1,0.0%,0,1,0.0%,0,0,-,0,1,1,0,0,1,0,0,2,2,1
10894,14,〇,柏倉 哲平,PG,29:55,7,3,10,30.0%,1,5,20.0%,0,0,-,0,0,0,9,0,0,0,0,2,0,7
5100000062,15,-,キーファー・ラベナ,PG/SG,28:46,6,1,7,14.3%,0,2,0.0%,4,6,66.7%,0,1,1,0,3,2,0,0,2,4,0
5100000028,16,〇,野本 大智,PG,12:28,5,1,1,100.0%,1,1,100.0%,2,4,50.0%,0,0,0,0,0,0,0,0,4,3,2
5100000087,22,-,トビン マーカス海舟,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
36416,23,〇,ノヴァー・ガドソン,SF,31:08,19,9,15,60.0%,1,4,25.0%,0,0,-,0,7,7,6,2,1,1,1,3,1,23
15816,33,-,林 翔太郎,SF,27:51,11,4,8,50.0%,3,6,50.0%,0,0,-,0,3,3,2,0,0,1,0,1,0,12
26912,54,〇,ショーン・オマラ,C,18:13,10,4,5,80.0%,0,1,0.0%,2,4,50.0%,4,1,5,1,4,0,4,0,4,4,13
5100000015,99,-,川真田 紘也,C,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
