id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
9221,7,-,筑波 拓朗,SF,24:32,10,4,6,66.7%,2,4,50.0%,0,0,-,1,2,3,0,0,2,0,0,3,1,11
9413,9,-,矢代 雪次郎,PG/SG,02:58,0,0,1,0.0%,0,0,-,0,0,-,0,1,1,1,0,0,0,1,1,0,-1
33039,12,〇,アンガス・ブラント,C,20:18,14,5,7,71.4%,1,2,50.0%,3,3,100.0%,6,8,14,5,2,0,0,0,3,2,27
8488,15,〇,谷口 光貴,SG/SF,19:03,14,5,8,62.5%,4,5,80.0%,0,0,-,0,2,2,0,0,0,0,1,3,2,11
18174,24,-,伊集 貴也,PG,12:28,2,1,3,33.3%,0,2,0.0%,0,2,0.0%,0,1,1,4,1,1,0,0,2,2,3
33027,25,-,リース・ヴァーグ,PF,21:30,19,6,10,60.0%,3,5,60.0%,4,4,100.0%,1,5,6,3,0,2,1,0,1,2,28
10836,29,-,安部 瑞基,SG,16:52,6,2,4,50.0%,2,3,66.7%,0,0,-,0,1,1,0,0,0,0,0,1,0,4
10831,30,〇,テレンス・ウッドベリー,SF/PF,32:54,16,6,17,35.3%,3,7,42.9%,1,1,100.0%,1,7,8,6,6,0,0,0,2,7,18
9218,34,〇,兒玉 貴通,PG,26:54,8,4,9,44.4%,0,1,0.0%,0,1,0.0%,0,1,1,4,4,1,0,0,2,2,4
10262,45,-,頓宮 裕人,C/PF,02:58,1,0,0,-,0,0,-,1,2,50.0%,1,0,1,0,1,1,2,0,0,1,4
30444,93,〇,上良 潤起,PG/SG,19:33,8,2,3,66.7%,0,1,0.0%,4,6,66.7%,0,0,0,1,1,3,0,0,2,3,9
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,2,2,4,0,1,0,0,0,0,0,0
,,,合計,,200:00,98,35,68,51.5%,15,30,50.0%,13,19,68.4%,12,30,42,24,16,10,3,2,20,22,121
