id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
5100000057,5,-,デビン・オリバー,SF/PF,22:35,11,4,10,40.0%,0,2,0.0%,3,3,100.0%,2,7,9,4,0,2,0,0,3,3,20
10263,7,-,澤邉 圭太,SG,25:36,13,5,9,55.6%,2,2,100.0%,1,2,50.0%,1,2,3,5,2,0,2,1,4,2,13
9268,8,〇,月野 雅人,PG,18:43,2,1,5,20.0%,0,1,0.0%,0,0,-,1,0,1,1,0,0,0,0,2,1,-1
8840,12,-,寒竹 隼人,SF,17:01,12,3,4,75.0%,3,4,75.0%,3,3,100.0%,0,1,1,0,1,0,0,0,3,1,9
30526,15,〇,渡辺 翔太,PG,22:31,5,2,11,18.2%,0,5,0.0%,1,2,50.0%,0,0,0,7,1,1,0,0,1,4,5
9383,24,〇,ジャスティン・バーレル,C/PF,27:58,16,8,17,47.1%,0,1,0.0%,0,0,-,2,7,9,1,2,1,1,0,3,3,16
8582,25,-,荒尾 岳,PF,05:33,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1,0,-1
8528,30,〇,田中 成也,SG,13:07,0,0,1,0.0%,0,0,-,0,0,-,0,1,1,0,0,0,0,0,3,1,-2
5100000058,55,〇,ジェロウム・メインセ,C/PF,29:27,15,6,10,60.0%,1,2,50.0%,2,4,50.0%,2,8,10,1,0,1,1,0,4,3,21
15855,75,-,神里 和,PG,13:10,2,1,3,33.3%,0,2,0.0%,0,0,-,0,1,1,1,0,0,0,0,3,0,-1
8481,91,-,片岡 大晴,SG,04:19,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,2,0,2,0,0,0,0,0,1,0,0
,,,合計,,200:00,76,30,70,42.9%,6,19,31.6%,10,14,71.4%,10,27,37,20,6,5,4,1,28,18,81
