id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
51000105,0,-,喜久山 アレックス,05:27,0,0,1,0.0%,0,1,0.0%,0,0,-,0,0,0,1,0,0,0,0,0,0,0,
5100000057,5,〇,デビン・オリバー,SF/PF,25:09,18,7,9,77.8%,1,2,50.0%,3,5,60.0%,1,6,7,2,3,0,0,0,1,4,23
9268,8,-,月野 雅人,PG,20:46,3,1,4,25.0%,1,2,50.0%,0,0,-,1,0,1,2,3,0,0,0,2,1,-1
8840,12,-,寒竹 隼人,SF,16:45,0,0,5,0.0%,0,4,0.0%,0,0,-,3,3,6,0,0,0,0,0,1,0,0
30526,15,〇,渡辺 翔太,PG,25:25,2,1,4,25.0%,0,2,0.0%,0,0,-,0,0,0,5,2,0,0,1,3,3,1
9383,24,〇,ジャスティン・バーレル,C/PF,27:12,6,3,8,37.5%,0,1,0.0%,0,4,0.0%,1,5,6,4,1,0,1,0,2,3,8
8582,25,〇,荒尾 岳,PF,11:17,0,0,1,0.0%,0,0,-,0,0,-,0,0,0,0,0,1,1,0,1,0,0
5100000058,55,-,ジェロウム・メインセ,C/PF,23:34,11,4,9,44.4%,0,1,0.0%,3,4,75.0%,1,4,5,1,1,2,3,1,3,3,14
15855,75,-,神里 和,PG,19:04,12,4,6,66.7%,3,5,60.0%,1,2,50.0%,1,1,2,5,1,1,0,0,5,2,13
8481,91,〇,片岡 大晴,SG,25:21,24,9,12,75.0%,6,8,75.0%,0,0,-,1,0,1,3,1,0,0,0,4,1,21
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,2,3,0,1,0,0,0,0,0,0
,,,合計,,200:00,76,29,59,49.2%,11,26,42.3%,7,15,46.7%,10,21,31,23,13,4,5,2,22,17,81
