id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
32997,0,-,エリック・マーフィー,PF,23:20,22,7,11,63.6%,3,5,60.0%,5,6,83.3%,2,5,7,1,2,0,0,1,3,4,23
8673,5,-,友利 健哉,PG/SG,03:30,0,0,1,0.0%,0,1,0.0%,0,0,-,0,0,0,0,0,0,0,0,0,1,0
8577,6,〇,長谷川 智伸,SG,29:25,6,3,6,50.0%,0,2,0.0%,0,0,-,0,3,3,7,0,1,1,0,1,2,16
8674,8,-,村上 慎也,PG,09:37,2,0,2,0.0%,0,1,0.0%,2,2,100.0%,0,1,1,2,1,2,0,0,1,1,4
9349,9,〇,神原 裕司,SG,06:22,3,1,2,50.0%,1,2,50.0%,0,0,-,0,1,1,0,0,0,0,1,1,0,1
30461,11,-,山内 翼,SG,02:02,4,0,0,-,0,0,-,4,4,100.0%,0,0,0,0,0,0,0,0,0,2,6
5100000051,12,〇,アレックス・マーフィー,PF,20:18,10,4,6,66.7%,0,0,-,2,4,50.0%,1,3,4,1,0,0,0,0,1,3,13
8684,16,-,橋本 尚明,PG/SG,15:56,5,2,5,40.0%,1,3,33.3%,0,0,-,0,1,1,2,1,0,0,0,4,1,1
8677,21,-,菅野 翔太,SG/SF,16:18,5,2,6,33.3%,1,5,20.0%,0,0,-,1,0,1,0,1,0,0,0,1,0,0
10852,30,〇,水野 幹太,PG,16:36,2,0,2,0.0%,0,1,0.0%,2,4,50.0%,0,1,1,7,2,0,0,0,2,3,5
8597,32,-,市岡 ショーン,C/PF,20:14,2,1,6,16.7%,0,0,-,0,0,-,1,2,3,2,5,0,0,1,3,1,-6
9403,42,〇,ジェイソン・ウォッシュバーン,C/PF,36:22,25,9,15,60.0%,1,2,50.0%,6,7,85.7%,4,11,15,4,2,0,1,0,2,7,41
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,2,4,6,0,0,0,0,0,1,0,0
,,,合計,,200:00,86,29,62,46.8%,7,22,31.8%,21,27,77.8%,11,32,43,26,14,3,2,3,20,25,110
