id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
30397,2,-,栗原 翼,PG/SG,17:32,3,1,4,25.0%,1,4,25.0%,0,0,-,0,2,2,1,3,1,0,0,2,0,-1
5100000090,3,〇,マーク・バートン,PG/SG,09:24,7,3,5,60.0%,1,2,50.0%,0,0,-,0,1,1,1,1,1,0,0,1,1,7
9431,7,〇,ジョシュア・クロフォード,C,28:13,5,1,6,16.7%,0,2,0.0%,3,4,75.0%,1,7,8,5,0,1,1,0,4,2,12
19999,10,-,ビリシベ 実会,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
8537,13,-,坂井 レオ,C/PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
18478,14,〇,久岡 幸太郎,PG,34:04,3,1,5,20.0%,1,3,33.3%,0,0,-,0,0,0,5,3,0,0,1,4,2,-2
9064,21,〇,増子 匠,SG,36:09,18,8,15,53.3%,1,4,25.0%,1,1,100.0%,2,1,3,6,2,1,0,0,2,1,18
5100000091,22,-,パット・アンドレー,PF,18:03,3,1,3,33.3%,1,3,33.3%,0,0,-,0,2,2,1,0,1,1,0,3,0,3
30441,24,-,髙木 慎哉,SG,22:51,9,3,7,42.9%,3,7,42.9%,0,0,-,1,0,1,0,0,2,0,0,1,1,8
5100000092,25,〇,マーク エディ・ノエリア,C/PF,33:44,29,12,24,50.0%,1,2,50.0%,4,6,66.7%,1,5,6,1,3,5,4,1,3,6,30
51000099,27,-,山ノ内 勇登 ウィリアムズ,PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,3,0,3,0,2,0,0,0,0,0,0
,,,合計,,200:00,77,30,69,43.5%,9,27,33.3%,8,11,72.7%,8,18,26,20,14,12,6,2,20,13,76
