id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
8461,0,〇,横江 豊,PG,23:20,5,2,2,100.0%,0,0,-,1,1,100.0%,0,2,2,3,3,1,0,0,3,3,8
8451,3,〇,藤髙 宗一郎,SF/PF,28:17,4,2,6,33.3%,0,3,0.0%,0,0,-,0,2,2,4,4,1,0,1,3,1,0
5100000038,9,-,板橋 真平,PG,20:21,9,3,11,27.3%,3,8,37.5%,0,0,-,0,0,0,1,3,0,0,1,3,1,-4
51000129,11,-,高岡 圭汰朗,SG/SF,02:23,3,1,2,50.0%,1,2,50.0%,0,0,-,0,0,0,0,0,0,0,0,1,0,1
22391,21,-,玉井 健介,SG,01:16,0,0,0,-,0,0,-,0,0,-,0,0,0,0,2,0,0,0,1,0,-3
8671,24,-,鈴木 大,PG/SG,23:23,8,3,5,60.0%,0,1,0.0%,2,2,100.0%,0,1,1,1,0,1,0,0,1,2,10
51000128,29,〇,中澤 海斗,PG/SG,19:16,4,1,3,33.3%,0,0,-,2,2,100.0%,0,0,0,1,2,1,0,0,2,2,2
5100000037,33,-,三森 啓右,C/PF,20:56,0,0,0,-,0,0,-,0,0,-,1,3,4,0,0,0,0,0,3,0,1
10875,44,〇,グレッグ・マンガーノ,C/PF,37:37,23,9,20,45.0%,0,4,0.0%,5,6,83.3%,0,12,12,3,1,1,3,1,3,5,30
8744,88,〇,木村 啓太郎,PG,23:11,12,4,7,57.1%,1,3,33.3%,3,4,75.0%,0,1,1,2,0,1,0,0,4,3,11
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,2,3,0,2,0,0,0,0,0,0
,,,合計,,200:00,68,25,56,44.6%,5,21,23.8%,13,15,86.7%,2,23,25,15,17,6,3,3,24,17,57
